drug_id,caco2,caco2_probability,bbb,bbb_probability,hia,hia_probability,p_glycoprotein_substrate,p_glycoprotein_substrate_probability,p_glycoprotein_inhibitor_1,p_glycoprotein_inhibitor_1_probability,p_glycoprotein_inhibitor_2,p_glycoprotein_inhibitor_2_probability,renal_organic_cation_transporter,renal_organic_cation_transporter_probability,cyp450_2c9_substrate,cyp450_2c9_substrate_probability,cyp450_2d6_substrate,cyp450_2d6_substrate_probability,cyp450_3a4_substrate,cyp450_3a4_substrate_probability,cyp450_1a2_substrate,cyp450_1a2_substrate_probability,cyp450_2c9_inhibitor,cyp450_2c9_inhibitor_probability,cyp450_2d6_inhibitor,cyp450_2d6_inhibitor_probability,cyp450_2c19_inhibitor,cyp450_2c19_inhibitor_probability,cyp450_3a4_inhibitor,cyp450_3a4_inhibitor_probability,cyp_inhibitory_promiscuity,cyp_inhibitory_promiscuity_probability,herg_inhibitor_1,herg_inhibitor_1_probability,herg_inhibitor_2,herg_inhibitor_2_probability,ames_toxicity,ames_toxicity_probability,carcinogenicity,carcinogenicity_probability,biodegradation,biodegradation_probability,rat_acute_toxicity
118,0,0.7307,0,0.8894,1,0.8102,Substrate,0.7584,Non-inhibitor,0.9664,Non-inhibitor,0.993,Non-inhibitor,0.9295,Non-substrate,0.8308,Non-substrate,0.8224,Substrate,0.5753,Non-inhibitor,0.8308,Non-inhibitor,0.8396,Non-inhibitor,0.9192,Non-inhibitor,0.8457,Non-inhibitor,0.9731,Low CYP Inhibitory Promiscuity,0.9647,Weak inhibitor,0.9755,Non-inhibitor,0.7962,Non AMES toxic,0.6899,Non-carcinogens,0.9417,Not ready biodegradable,0.9486,2.5758
119,0,0.6934,1,0.9401,1,0.9753,Non-substrate,0.8153,Non-inhibitor,0.9498,Non-inhibitor,0.9514,Non-inhibitor,0.949,Non-substrate,0.7951,Non-substrate,0.9402,Non-substrate,0.7806,Non-inhibitor,0.98,Non-inhibitor,0.9608,Non-inhibitor,0.9697,Non-inhibitor,0.9834,Non-inhibitor,0.9882,Low CYP Inhibitory Promiscuity,0.9932,Weak inhibitor,0.9883,Non-inhibitor,0.9801,Non AMES toxic,0.8578,Carcinogens ,0.5171,Ready biodegradable,0.9262,1.7859
120,1,0.8129,1,0.5902,1,0.9733,Non-substrate,0.721,Non-inhibitor,0.9916,Non-inhibitor,0.9941,Non-inhibitor,0.9204,Non-substrate,0.8512,Non-substrate,0.8296,Non-substrate,0.8378,Non-inhibitor,0.9448,Non-inhibitor,0.9792,Non-inhibitor,0.9674,Non-inhibitor,0.9797,Non-inhibitor,0.9278,Low CYP Inhibitory Promiscuity,0.9896,Weak inhibitor,0.9805,Non-inhibitor,0.9737,Non AMES toxic,0.9211,Non-carcinogens,0.8441,Ready biodegradable,0.7562,1.9053
121,0,0.7206,1,0.9383,1,0.7395,Substrate,0.6413,Non-inhibitor,0.9561,Non-inhibitor,1.0,Non-inhibitor,0.8803,Non-substrate,0.7602,Non-substrate,0.7872,Non-substrate,0.6911,Non-inhibitor,0.9046,Non-inhibitor,0.9252,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.8959,Low CYP Inhibitory Promiscuity,0.9762,Weak inhibitor,0.9596,Non-inhibitor,0.9145,Non AMES toxic,0.9133,Non-carcinogens,0.9598,Not ready biodegradable,0.8923,2.0581
122,1,0.8867,1,0.9214,0,0.964,Non-substrate,0.5169,Non-inhibitor,0.9881,Non-inhibitor,0.9543,Non-inhibitor,0.7651,Non-substrate,0.7719,Non-substrate,0.5882,Non-substrate,0.5505,Non-inhibitor,0.9193,Non-inhibitor,0.9496,Non-inhibitor,0.9231,Non-inhibitor,0.9497,Non-inhibitor,0.9904,Low CYP Inhibitory Promiscuity,0.9936,Weak inhibitor,0.8202,Non-inhibitor,0.8071,Non AMES toxic,0.9387,Carcinogens ,0.5996,Ready biodegradable,0.7211,2.0491
125,0,0.7316,1,0.6882,1,0.8289,Non-substrate,0.5564,Non-inhibitor,0.9814,Non-inhibitor,0.8803,Non-inhibitor,0.7475,Non-substrate,0.7822,Non-substrate,0.6787,Non-substrate,0.8105,Non-inhibitor,0.8555,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.7705,Non-inhibitor,0.8925,Low CYP Inhibitory Promiscuity,0.9945,Weak inhibitor,0.9533,Non-inhibitor,0.9683,AMES toxic,0.7182,Non-carcinogens,0.9229,Ready biodegradable,0.8394,1.4851
126,0,0.771,1,0.8532,1,0.6559,Non-substrate,0.6077,Non-inhibitor,0.9097,Non-inhibitor,0.9807,Non-inhibitor,0.9008,Non-substrate,0.8133,Non-substrate,0.8696,Non-substrate,0.6361,Non-inhibitor,0.8958,Non-inhibitor,0.9478,Non-inhibitor,0.9347,Non-inhibitor,0.9383,Non-inhibitor,0.9662,Low CYP Inhibitory Promiscuity,0.9249,Weak inhibitor,0.9676,Non-inhibitor,0.9286,Non AMES toxic,0.8941,Non-carcinogens,0.9417,Ready biodegradable,0.9526,1.3059
127,1,0.7072,1,0.6345,1,0.9215,Non-substrate,0.5094,Non-inhibitor,0.9178,Non-inhibitor,0.6414,Non-inhibitor,0.6066,Non-substrate,0.8863,Non-substrate,0.5607,Non-substrate,0.8262,Inhibitor,0.877,Non-inhibitor,0.9072,Non-inhibitor,0.9502,Non-inhibitor,0.9026,Non-inhibitor,0.9703,Low CYP Inhibitory Promiscuity,0.9386,Weak inhibitor,0.7691,Non-inhibitor,0.7739,Non AMES toxic,0.8957,Non-carcinogens,0.6436,Ready biodegradable,0.5525,2.4561
128,0,0.8271,0,0.6594,0,0.5825,Non-substrate,0.7668,Non-inhibitor,0.9714,Non-inhibitor,0.9916,Non-inhibitor,0.9672,Non-substrate,0.856,Non-substrate,0.8541,Non-substrate,0.7916,Non-inhibitor,0.9605,Non-inhibitor,0.9657,Non-inhibitor,0.9547,Non-inhibitor,0.973,Non-inhibitor,0.9372,Low CYP Inhibitory Promiscuity,1.0,Weak inhibitor,0.9849,Non-inhibitor,0.9795,Non AMES toxic,0.9133,Non-carcinogens,0.8906,Ready biodegradable,0.9088,1.1037
129,0,0.7431,1,0.7613,1,0.8449,Non-substrate,0.6568,Non-inhibitor,0.9856,Non-inhibitor,0.9681,Non-inhibitor,0.8847,Non-substrate,0.8464,Non-substrate,0.7517,Non-substrate,0.8238,Non-inhibitor,0.9653,Non-inhibitor,0.9639,Non-inhibitor,0.9786,Non-inhibitor,0.9659,Non-inhibitor,0.9327,Low CYP Inhibitory Promiscuity,0.9931,Weak inhibitor,0.9771,Non-inhibitor,0.9663,AMES toxic,0.8541,Non-carcinogens,0.8407,Ready biodegradable,0.8711,1.054
130,0,0.8957,1,0.9604,0,0.5588,Non-substrate,0.7302,Non-inhibitor,0.964,Non-inhibitor,0.9919,Non-inhibitor,0.961,Non-substrate,0.845,Non-substrate,0.8496,Non-substrate,0.7544,Non-inhibitor,0.9583,Non-inhibitor,0.9741,Non-inhibitor,0.96,Non-inhibitor,0.9761,Non-inhibitor,0.8936,Low CYP Inhibitory Promiscuity,0.9932,Weak inhibitor,0.9953,Non-inhibitor,0.9828,Non AMES toxic,0.7849,Non-carcinogens,0.9136,Ready biodegradable,0.8854,1.2587
131,0,0.7398,1,0.9402,0,0.6115,Non-substrate,0.6874,Non-inhibitor,0.9111,Non-inhibitor,0.9852,Non-inhibitor,0.947,Non-substrate,0.848,Non-substrate,0.8331,Non-substrate,0.5462,Non-inhibitor,0.9078,Non-inhibitor,0.9419,Non-inhibitor,0.921,Non-inhibitor,0.9293,Non-inhibitor,0.9296,Low CYP Inhibitory Promiscuity,0.9633,Weak inhibitor,0.976,Non-inhibitor,0.8625,Non AMES toxic,0.8718,Non-carcinogens,0.9239,Not ready biodegradable,0.9793,2.022
132,1,0.7735,1,0.9314,1,0.9896,Non-substrate,0.6766,Non-inhibitor,0.9499,Non-inhibitor,0.9025,Non-inhibitor,0.9311,Non-substrate,0.7735,Non-substrate,0.9081,Non-substrate,0.6884,Inhibitor,0.6915,Non-inhibitor,0.8798,Non-inhibitor,0.9631,Non-inhibitor,0.9638,Non-inhibitor,0.9465,Low CYP Inhibitory Promiscuity,0.9426,Weak inhibitor,0.8818,Non-inhibitor,0.9315,Non AMES toxic,0.9132,Non-carcinogens,0.6502,Ready biodegradable,0.7808,1.4499
133,0,0.7839,0,0.6529,1,0.9407,Non-substrate,0.7693,Non-inhibitor,0.9862,Non-inhibitor,0.9877,Non-inhibitor,0.9436,Non-substrate,0.8673,Non-substrate,0.846,Non-substrate,0.8389,Non-inhibitor,0.9087,Non-inhibitor,0.9512,Non-inhibitor,0.9349,Non-inhibitor,0.945,Non-inhibitor,0.908,Low CYP Inhibitory Promiscuity,0.9914,Weak inhibitor,0.9923,Non-inhibitor,0.9811,Non AMES toxic,0.9088,Non-carcinogens,0.82,Ready biodegradable,0.9489,1.27
134,0,0.6698,1,0.8447,1,0.9797,Non-substrate,0.5351,Non-inhibitor,0.9802,Non-inhibitor,0.9919,Non-inhibitor,0.8913,Non-substrate,0.7875,Non-substrate,0.7323,Non-substrate,0.7008,Non-inhibitor,0.8295,Non-inhibitor,0.9489,Non-inhibitor,0.9567,Non-inhibitor,0.951,Non-inhibitor,0.9758,Low CYP Inhibitory Promiscuity,0.9938,Weak inhibitor,0.9725,Non-inhibitor,0.9655,Non AMES toxic,0.9132,Non-carcinogens,0.9224,Ready biodegradable,0.5613,0.6483
136,1,0.7812,1,0.8524,1,0.9924,Substrate,0.7843,Non-inhibitor,0.6065,Non-inhibitor,0.6073,Non-inhibitor,0.8178,Non-substrate,0.8367,Non-substrate,0.9022,Substrate,0.7506,Non-inhibitor,0.9033,Non-inhibitor,0.8354,Non-inhibitor,0.9495,Non-inhibitor,0.7796,Non-inhibitor,0.813,Low CYP Inhibitory Promiscuity,0.6175,Weak inhibitor,0.8734,Non-inhibitor,0.8579,Non AMES toxic,0.9133,Non-carcinogens,0.9274,Not ready biodegradable,0.9937,5.1352
137,1,0.7904,1,0.6588,1,0.9972,Substrate,0.5199,Inhibitor,0.5819,Non-inhibitor,0.8202,Non-inhibitor,0.876,Non-substrate,0.8299,Non-substrate,0.8408,Substrate,0.6607,Non-inhibitor,0.9079,Non-inhibitor,0.7723,Non-inhibitor,0.9368,Inhibitor,0.5225,Non-inhibitor,0.8808,Low CYP Inhibitory Promiscuity,0.6267,Weak inhibitor,0.9273,Non-inhibitor,0.8259,Non AMES toxic,0.8391,Non-carcinogens,0.7489,Not ready biodegradable,0.9655,2.5006
138,0,0.7541,0,0.5098,1,0.7309,Non-substrate,0.606,Non-inhibitor,0.9749,Non-inhibitor,1.0,Non-inhibitor,0.9521,Non-substrate,0.9012,Non-substrate,0.8371,Non-substrate,0.8232,Non-inhibitor,0.8924,Non-inhibitor,0.8968,Non-inhibitor,0.9149,Non-inhibitor,0.9101,Non-inhibitor,0.6103,Low CYP Inhibitory Promiscuity,0.995,Weak inhibitor,0.9839,Non-inhibitor,0.9707,Non AMES toxic,0.5429,Non-carcinogens,0.781,Ready biodegradable,0.628,2.0474
139,0,0.648,1,0.869,1,0.668,Non-substrate,0.7618,Non-inhibitor,0.9796,Non-inhibitor,0.9701,Non-inhibitor,0.9513,Non-substrate,0.8535,Non-substrate,0.9161,Non-substrate,0.7794,Non-inhibitor,0.8848,Non-inhibitor,0.9759,Non-inhibitor,0.9713,Non-inhibitor,0.9856,Non-inhibitor,0.9679,Low CYP Inhibitory Promiscuity,0.9951,Weak inhibitor,0.9622,Non-inhibitor,0.9771,Non AMES toxic,0.9587,Non-carcinogens,0.7929,Ready biodegradable,0.9399,1.6866
140,0,0.7122,0,0.8495,1,0.9156,Substrate,0.7414,Non-inhibitor,0.8708,Non-inhibitor,0.9466,Non-inhibitor,0.9279,Non-substrate,0.7819,Non-substrate,0.8435,Non-substrate,0.522,Inhibitor,0.8531,Non-inhibitor,0.9071,Non-inhibitor,0.9516,Inhibitor,0.7302,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.9203,Weak inhibitor,0.9395,Non-inhibitor,0.5362,Non AMES toxic,0.804,Non-carcinogens,0.7954,Not ready biodegradable,0.9641,1.6067
141,0,0.8423,1,0.7394,1,0.7511,Non-substrate,0.7321,Non-inhibitor,0.8669,Non-inhibitor,0.8873,Non-inhibitor,0.971,Non-substrate,0.7733,Non-substrate,0.8286,Non-substrate,0.6654,Non-inhibitor,0.9215,Non-inhibitor,0.9064,Non-inhibitor,0.9409,Non-inhibitor,0.944,Non-inhibitor,0.9473,Low CYP Inhibitory Promiscuity,0.9766,Weak inhibitor,0.995,Non-inhibitor,0.9616,Non AMES toxic,0.7108,Non-carcinogens,0.9044,Ready biodegradable,0.9048,1.5975
143,0,0.8191,1,0.6491,0,0.7892,Non-substrate,0.5706,Non-inhibitor,0.9195,Non-inhibitor,0.99,Non-inhibitor,0.9445,Non-substrate,0.8791,Non-substrate,0.8096,Non-substrate,0.7544,Non-inhibitor,0.9437,Non-inhibitor,0.9179,Non-inhibitor,0.9502,Non-inhibitor,0.919,Non-inhibitor,0.939,Low CYP Inhibitory Promiscuity,0.9898,Weak inhibitor,0.9897,Non-inhibitor,0.9476,AMES toxic,0.9107,Non-carcinogens,0.9224,Not ready biodegradable,0.597,1.7842
144,0,0.666,1,0.5475,0,0.6612,Non-substrate,0.5358,Non-inhibitor,0.7716,Non-inhibitor,0.9679,Non-inhibitor,0.9512,Non-substrate,0.9229,Non-substrate,0.8056,Non-substrate,0.6063,Non-inhibitor,0.7648,Non-inhibitor,0.8731,Non-inhibitor,0.8662,Non-inhibitor,0.7588,Non-inhibitor,0.7248,Low CYP Inhibitory Promiscuity,0.9716,Weak inhibitor,0.9279,Non-inhibitor,0.7921,Non AMES toxic,0.7626,Non-carcinogens,0.7671,Not ready biodegradable,0.7036,2.1996
145,0,0.7533,1,0.5728,1,0.9156,Non-substrate,0.7821,Non-inhibitor,0.9841,Non-inhibitor,0.9794,Non-inhibitor,0.9436,Non-substrate,0.8833,Non-substrate,0.8526,Non-substrate,0.8432,Non-inhibitor,0.9628,Non-inhibitor,0.9738,Non-inhibitor,0.975,Non-inhibitor,0.973,Non-inhibitor,0.9405,Low CYP Inhibitory Promiscuity,0.9871,Weak inhibitor,0.9611,Non-inhibitor,0.9556,Non AMES toxic,0.9133,Non-carcinogens,0.6261,Ready biodegradable,0.9289,1.0076
146,1,0.8891,1,0.9164,1,0.9953,Substrate,0.7454,Inhibitor,0.5209,Inhibitor,0.6087,Non-inhibitor,0.7849,Non-substrate,0.8379,Non-substrate,0.9004,Substrate,0.7815,Non-inhibitor,0.8874,Non-inhibitor,0.9229,Non-inhibitor,0.9488,Non-inhibitor,0.7885,Non-inhibitor,0.7968,Low CYP Inhibitory Promiscuity,0.56,Weak inhibitor,0.8189,Non-inhibitor,0.7589,Non AMES toxic,0.8612,Non-carcinogens,0.917,Not ready biodegradable,0.991,4.1429
147,0,0.6034,1,0.6605,1,0.9937,Non-substrate,0.6664,Non-inhibitor,0.9793,Non-inhibitor,0.9345,Non-inhibitor,0.8338,Non-substrate,0.7017,Non-substrate,0.8006,Non-substrate,0.7247,Non-inhibitor,0.7841,Non-inhibitor,0.9194,Non-inhibitor,0.9437,Non-inhibitor,0.8778,Non-inhibitor,0.8435,Low CYP Inhibitory Promiscuity,0.7875,Weak inhibitor,0.935,Non-inhibitor,0.9528,Non AMES toxic,0.801,Non-carcinogens,0.9323,Ready biodegradable,0.7562,1.4597
148,0,0.6228,1,0.6849,1,0.9605,Non-substrate,0.5275,Non-inhibitor,0.9704,Non-inhibitor,0.8744,Non-inhibitor,0.8321,Non-substrate,0.7916,Non-substrate,0.767,Non-substrate,0.7585,Non-inhibitor,0.9136,Non-inhibitor,0.9068,Non-inhibitor,0.8954,Non-inhibitor,0.9157,Non-inhibitor,0.9346,Low CYP Inhibitory Promiscuity,0.9969,Weak inhibitor,0.9653,Non-inhibitor,0.9649,Non AMES toxic,0.7522,Non-carcinogens,0.8138,Not ready biodegradable,0.7859,2.0088
150,0,0.5943,1,0.951,1,0.984,Non-substrate,0.5988,Non-inhibitor,0.9951,Non-inhibitor,0.9779,Non-inhibitor,0.8805,Non-substrate,0.8463,Non-substrate,0.7897,Non-substrate,0.7841,Non-inhibitor,0.9531,Non-inhibitor,0.9481,Non-inhibitor,0.9307,Non-inhibitor,0.9644,Non-inhibitor,0.9432,Low CYP Inhibitory Promiscuity,0.9542,Weak inhibitor,0.9864,Non-inhibitor,0.9402,Non AMES toxic,0.9284,Non-carcinogens,0.931,Not ready biodegradable,0.8348,1.1785
151,0,0.721,1,0.5918,1,0.9698,Non-substrate,0.8141,Non-inhibitor,0.984,Non-inhibitor,0.9903,Non-inhibitor,0.9462,Non-substrate,0.8473,Non-substrate,0.8141,Non-substrate,0.8245,Non-inhibitor,0.94,Non-inhibitor,0.9584,Non-inhibitor,0.9665,Non-inhibitor,0.9634,Non-inhibitor,0.9602,Low CYP Inhibitory Promiscuity,0.9888,Weak inhibitor,0.9891,Non-inhibitor,0.9684,AMES toxic,0.9107,Non-carcinogens,0.7998,Ready biodegradable,0.7577,1.7757
152,1,0.8867,1,0.933,0,0.7976,Non-substrate,0.5593,Non-inhibitor,0.9814,Non-inhibitor,0.8504,Non-inhibitor,0.7559,Non-substrate,0.842,Non-substrate,0.7591,Non-substrate,0.7256,Non-inhibitor,0.58,Non-inhibitor,0.7521,Non-inhibitor,0.7523,Non-inhibitor,0.7397,Non-inhibitor,0.8019,Low CYP Inhibitory Promiscuity,0.7795,Weak inhibitor,0.9415,Non-inhibitor,0.6221,Non AMES toxic,0.9132,Non-carcinogens,0.8999,Not ready biodegradable,0.86,2.4577
153,1,0.8323,1,0.9428,1,1.0,Substrate,0.6628,Inhibitor,0.7614,Non-inhibitor,0.8391,Non-inhibitor,0.796,Non-substrate,0.8432,Non-substrate,0.9003,Substrate,0.7362,Non-inhibitor,0.9046,Non-inhibitor,0.8924,Non-inhibitor,0.9519,Non-inhibitor,0.8784,Non-inhibitor,0.8142,Low CYP Inhibitory Promiscuity,0.8163,Weak inhibitor,0.8502,Non-inhibitor,0.7513,Non AMES toxic,0.9401,Non-carcinogens,0.9169,Not ready biodegradable,0.9742,3.6931
154,1,0.8371,1,0.9539,1,0.9945,Non-substrate,0.5962,Non-inhibitor,0.9487,Non-inhibitor,0.8964,Non-inhibitor,0.9272,Non-substrate,0.7643,Non-substrate,0.8954,Non-substrate,0.6678,Inhibitor,0.9107,Non-inhibitor,0.8972,Non-inhibitor,0.9545,Non-inhibitor,0.9467,Non-inhibitor,0.9295,Low CYP Inhibitory Promiscuity,0.9349,Weak inhibitor,0.9133,Non-inhibitor,0.9103,Non AMES toxic,0.9674,Non-carcinogens,0.6568,Ready biodegradable,0.811,1.3991
155,0,0.813,1,0.8961,1,0.6863,Non-substrate,0.616,Non-inhibitor,0.9782,Non-inhibitor,0.982,Non-inhibitor,0.9331,Non-substrate,0.7522,Non-substrate,0.7828,Non-substrate,0.8127,Non-inhibitor,0.9415,Non-inhibitor,0.9149,Non-inhibitor,0.97,Non-inhibitor,0.9018,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.9896,Weak inhibitor,0.972,Non-inhibitor,0.9716,Non AMES toxic,0.5916,Non-carcinogens,0.9113,Ready biodegradable,0.9247,1.3397
156,0,0.9009,0,0.6054,1,0.939,Non-substrate,0.7827,Non-inhibitor,0.9851,Non-inhibitor,0.9902,Non-inhibitor,0.9634,Non-substrate,0.8233,Non-substrate,0.8832,Non-substrate,0.8021,Non-inhibitor,0.8694,Non-inhibitor,0.9362,Non-inhibitor,0.9529,Non-inhibitor,0.9119,Non-inhibitor,0.8683,Low CYP Inhibitory Promiscuity,0.9806,Weak inhibitor,0.9902,Non-inhibitor,0.9826,Non AMES toxic,0.9538,Non-carcinogens,0.6811,Ready biodegradable,0.844,1.2108
157,0,0.7045,1,0.5641,0,0.6017,Substrate,0.601,Non-inhibitor,0.7066,Non-inhibitor,0.912,Non-inhibitor,0.9361,Non-substrate,0.8412,Non-substrate,0.8303,Substrate,0.5242,Non-inhibitor,0.7565,Non-inhibitor,0.849,Non-inhibitor,0.8849,Non-inhibitor,0.8294,Non-inhibitor,0.8753,Low CYP Inhibitory Promiscuity,0.8373,Weak inhibitor,0.9379,Non-inhibitor,0.5992,Non AMES toxic,0.8146,Non-carcinogens,0.9227,Not ready biodegradable,0.9883,2.8642
158,0,0.844,1,0.7609,1,0.7956,Substrate,0.687,Non-inhibitor,0.9795,Non-inhibitor,0.9969,Non-inhibitor,0.876,Non-substrate,0.8276,Non-substrate,0.7947,Non-substrate,0.6212,Non-inhibitor,0.9281,Non-inhibitor,0.9071,Non-inhibitor,0.9435,Non-inhibitor,0.916,Non-inhibitor,0.9075,Low CYP Inhibitory Promiscuity,0.974,Weak inhibitor,0.9529,Non-inhibitor,0.8444,Non AMES toxic,0.8724,Non-carcinogens,0.9521,Not ready biodegradable,0.9191,2.449
