drug_id,caco2,caco2_probability,bbb,bbb_probability,hia,hia_probability,p_glycoprotein_substrate,p_glycoprotein_substrate_probability,p_glycoprotein_inhibitor_1,p_glycoprotein_inhibitor_1_probability,p_glycoprotein_inhibitor_2,p_glycoprotein_inhibitor_2_probability,renal_organic_cation_transporter,renal_organic_cation_transporter_probability,cyp450_2c9_substrate,cyp450_2c9_substrate_probability,cyp450_2d6_substrate,cyp450_2d6_substrate_probability,cyp450_3a4_substrate,cyp450_3a4_substrate_probability,cyp450_1a2_substrate,cyp450_1a2_substrate_probability,cyp450_2c9_inhibitor,cyp450_2c9_inhibitor_probability,cyp450_2d6_inhibitor,cyp450_2d6_inhibitor_probability,cyp450_2c19_inhibitor,cyp450_2c19_inhibitor_probability,cyp450_3a4_inhibitor,cyp450_3a4_inhibitor_probability,cyp_inhibitory_promiscuity,cyp_inhibitory_promiscuity_probability,herg_inhibitor_1,herg_inhibitor_1_probability,herg_inhibitor_2,herg_inhibitor_2_probability,ames_toxicity,ames_toxicity_probability,carcinogenicity,carcinogenicity_probability,biodegradation,biodegradation_probability,rat_acute_toxicity
13,QB01AD04,ATCvet,5.0,1,urokinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B01AD04,ATC,5.0,1,urokinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D014568,MeSH,,1,Urokinase-Type Plasminogen Activator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,QL02AE03,ATCvet,5.0,1,goserelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,L02AE03,ATC,5.0,1,goserelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D017273,MeSH,,1,Goserelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,QB01AD07,ATCvet,5.0,1,reteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B01AD07,ATC,5.0,1,reteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,C087896,MeSH,,1,reteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,QB03XA01,ATCvet,5.0,1,erythropoietin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B03XA01,ATC,5.0,1,erythropoietin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C555712,MeSH,,1,epoetin theta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C103998,MeSH,,1,epoetin beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C516871,MeSH,,1,epoetin omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C530192,MeSH,,1,epoetin zeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D004921,MeSH,,1,Erythropoietin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D000068817,MeSH,,1,Epoetin Alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,D002116,MeSH,,1,Calcitonin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,QH05BA01,ATCvet,5.0,1,calcitonin (salmon synthetic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,H05BA01,ATC,5.0,1,calcitonin (salmon synthetic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C028815,MeSH,,1,salmon calcitonin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C554126,MeSH,,1,Interferon Alfa-n3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,QL03AA13,ATCvet,5.0,1,pegfilgrastim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,L03AA13,ATC,5.0,1,pegfilgrastim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C455861,MeSH,,1,pegfilgrastim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,QL03AA09,ATCvet,5.0,1,sargramostim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,L03AA09,ATC,5.0,1,sargramostim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C081222,MeSH,,1,sargramostim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,QL03AB10,ATCvet,5.0,1,peginterferon alfa-2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,QL03AB60,ATCvet,5.0,1,"peginterferon alfa-2b, combinations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,L03AB60,ATC,5.0,1,"peginterferon alfa-2b, combinations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,L03AB10,ATC,5.0,1,peginterferon alfa-2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C417083,MeSH,,1,peginterferon alfa-2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D001215,MeSH,,1,Asparaginase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,QL01XX02,ATCvet,5.0,1,asparaginase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,L01XX02,ATC,5.0,1,asparaginase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,H01AB01,ATC,5.0,1,thyrotropin alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D057073,MeSH,,1,Thyrotropin Alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,QB02BD02,ATCvet,5.0,1,coagulation factor VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,B02BD02,ATC,5.0,1,coagulation factor VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C078147,MeSH,,1,"F8 protein, human",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C414350,MeSH,,1,BAY 14-2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,QL04AC03,ATCvet,5.0,1,anakinra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,L04AC03,ATC,5.0,1,anakinra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,D053590,MeSH,,1,Interleukin 1 Receptor Antagonist Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,QR02AB30,ATCvet,5.0,1,gramicidin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,R02AB30,ATC,5.0,1,gramicidin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,D006096,MeSH,,1,Gramicidin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,D007136,MeSH,,1,Immunoglobulins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,D016756,MeSH,,1,"Immunoglobulins, Intravenous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,QB01AD03,ATCvet,5.0,1,anistreplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,B01AD03,ATC,5.0,1,anistreplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,D016255,MeSH,,1,Anistreplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,D007328,MeSH,,1,Insulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C000006,MeSH,,1,"insulin, neutral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,QA10AE01,ATCvet,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,QA10AF01,ATCvet,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,QA10AB01,ATCvet,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,QA10AC01,ATCvet,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,QA10AD01,ATCvet,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A10AE01,ATC,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A10AB01,ATC,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A10AC01,ATC,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A10AF01,ATC,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A10AD01,ATC,5.0,1,insulin (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,D007336,MeSH,,1,"Insulin, Isophane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,QB01AD11,ATCvet,5.0,1,tenecteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,B01AD11,ATC,5.0,1,tenecteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,D000077785,MeSH,,1,Tenecteplase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,C104096,MeSH,,1,TNK-tissue plasminogen activator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,QG03GA03,ATCvet,5.0,1,serum gonadotrophin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,G03GA03,ATC,5.0,1,serum gonadotrophin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,QG03GA02,ATCvet,5.0,1,human menopausal gonadotrophin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,G03GA02,ATC,5.0,1,human menopausal gonadotrophin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,D008596,MeSH,,1,Menotropins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,C554125,MeSH,,1,interferon gamma-1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,QL03AB04,ATCvet,5.0,1,interferon alfa-2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,L03AB04,ATC,5.0,1,interferon alfa-2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,QH01BA02,ATCvet,5.0,1,desmopressin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,H01BA02,ATC,5.0,1,desmopressin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,D003894,MeSH,,1,Deamino Arginine Vasopressin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,QB02BD08,ATCvet,5.0,1,coagulation factor VIIa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,B02BD08,ATC,5.0,1,coagulation factor VIIa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,C103587,MeSH,,1,recombinant FVIIa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,QL03AC02,ATCvet,5.0,1,oprelvekin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,L03AC02,ATC,5.0,1,oprelvekin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,C105308,MeSH,,1,oprelvekin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,D017370,MeSH,,1,Interleukin-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,QV03AF08,ATCvet,5.0,1,palifermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,V03AF08,ATC,5.0,1,palifermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,D051523,MeSH,,1,Fibroblast Growth Factor 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,QH04AA01,ATCvet,5.0,1,glucagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,H04AA01,ATC,5.0,1,glucagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,D005934,MeSH,,1,Glucagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,QL03AC01,ATCvet,5.0,1,aldesleukin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,L03AC01,ATC,5.0,1,aldesleukin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,C082598,MeSH,,1,aldesleukin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,QM03AX01,ATCvet,5.0,1,botulinum toxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,M03AX01,ATC,5.0,1,botulinum toxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,C031775,MeSH,,1,batrachotoxinin A 20-alpha-benzoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,C096323,MeSH,,1,rimabotulinumtoxinB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,QR03DX05,ATCvet,5.0,1,omalizumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,R03DX05,ATC,5.0,1,omalizumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,D000069444,MeSH,,1,Omalizumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,QG03GA07,ATCvet,5.0,1,lutropin alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,G03GA07,ATC,5.0,1,lutropin alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,QA10AD04,ATCvet,5.0,1,insulin lispro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,QA10AC04,ATCvet,5.0,1,insulin lispro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,QA10AB04,ATCvet,5.0,1,insulin lispro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A10AC04,ATC,5.0,1,insulin lispro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A10AB04,ATC,5.0,1,insulin lispro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A10AD04,ATC,5.0,1,insulin lispro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,C000623163,MeSH,,1,SAR342434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,D061268,MeSH,,1,Insulin Lispro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,C000629675,MeSH,,1,MYL-1501D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,QA10AE04,ATCvet,5.0,1,insulin glargine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,QA10AE54,ATCvet,5.0,1,insulin glargine and lixisenatide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A10AE54,ATC,5.0,1,insulin glargine and lixisenatide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A10AE04,ATC,5.0,1,insulin glargine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,C000629534,MeSH,,1,MK-1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,D000069036,MeSH,,1,Insulin Glargine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,D003012,MeSH,,1,Microbial Collagenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,QD03BA02,ATCvet,5.0,1,collagenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,QM09AB02,ATCvet,5.0,1,collagenase clostridium histolyticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,QD03BA52,ATCvet,5.0,1,"collagenase, combinations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,M09AB02,ATC,5.0,1,collagenase clostridium histolyticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,D03BA52,ATC,5.0,1,"collagenase, combinations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,D03BA02,ATC,5.0,1,collagenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,D017364,MeSH,,1,Collagenases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,QM04AX01,ATCvet,5.0,1,urate oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,QV03AF07,ATCvet,5.0,1,rasburicase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,V03AF07,ATC,5.0,1,rasburicase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,M04AX01,ATC,5.0,1,urate oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,C469709,MeSH,,1,rasburicase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,D014503,MeSH,,1,Urate Oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,QH01CC02,ATCvet,5.0,1,cetrorelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,H01CC02,ATC,5.0,1,cetrorelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,C062876,MeSH,,1,cetrorelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,QL04AB04,ATCvet,5.0,1,adalimumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,L04AB04,ATC,5.0,1,adalimumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,C000630858,MeSH,,1,GP2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,D000068879,MeSH,,1,Adalimumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,QH01AC01,ATCvet,5.0,1,somatropin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,H01AC01,ATC,5.0,1,somatropin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,D013006,MeSH,,1,Growth Hormone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,D019382,MeSH,,1,Human Growth Hormone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,QA16AB02,ATCvet,5.0,1,imiglucerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,A16AB02,ATC,5.0,1,imiglucerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,C090568,MeSH,,1,imiglucerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,QB01AC13,ATCvet,5.0,1,abciximab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,B01AC13,ATC,5.0,1,abciximab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,D000077284,MeSH,,1,Abciximab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,QB01AD10,ATCvet,5.0,1,drotrecogin alfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,B01AD10,ATC,5.0,1,drotrecogin alfa (activated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
