id,drug_id,description
9012,188,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib."
8639,188,"Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea."
1403,188,Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.
2522,189,Avoid alcohol.
3923,189,Take with food. Food reduces irritation.
3143,191,Limit caffeine intake.
4574,191,Take with or without food. The absorption is unaffected by food.
5907,193,Avoid alcohol. Co-administration of alcohol may potentiate the CNS effects of tramadol.
4439,193,Take with or without food. Co-administration of food does not affect pharmacokinetics.
8114,195,No food interactions are expected.
4799,196,Take with or without food. The absorption is unaffected by food.
5066,198,Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability.
1841,199,Avoid grapefruit products.
3635,199,"Take on an empty stomach. Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption."
3674,199,Take with a full glass of water.
5553,203,Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.
8711,204,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide."
8714,204,"Exercise caution with St. John's Wort. Dofetilide is partially metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer, coadministration may reduce dofetilide serum levels."
5515,204,Take with or without food.
1925,205,Administer folic acid supplement. Folic acid need is increased.
3992,205,Take with food. Food reduces irritation.
2297,206,Avoid alcohol.
1271,206,Take with food. Food reduces irritation.
3611,207,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
1699,208,Take with a high fat meal. High fat meals will increase ticlopidine absorption.
1481,208,Take with food. Food can help ticlopidine-induced stomach upset.
5518,209,Take on an empty stomach. Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.
4772,211,Take with or without food. The absorption is unaffected by food.
4940,213,Take with or without food. The absorption is unaffected by food.
5521,214,Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.
2132,215,Avoid alcohol.
2951,215,Avoid St. John's Wort.
4607,215,Take with or without food. The absorption is unaffected by food.
5246,216,"Take with or without food. High-fat meals increase exposure, but not to a clinically relevant extent."
1895,218,Drink plenty of fluids.
4511,218,Take with or without food.
5276,220,Take with food. Food increases exposure and decreases pharmacokinetic variability.
2366,222,Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.
3740,222,Take with food. The manufacturer recommends administration with the first meal of the day.
2705,224,Avoid excessive or chronic alcohol consumption.
2732,224,Avoid grapefruit products.
3644,224,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
3695,224,Take with a full glass of water.
2744,227,Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.
4028,227,Take with food. Food increases bioavailability.
2009,230,Avoid alcohol. Alcohol may increase CNS effects.
5090,230,"Take with or without food. Food alters drug absorption, but not to a clinically significant extent."
2177,231,Avoid alcohol.
6141,231,Take with or without food.
4829,233,Take with or without food. The absorption is unaffected by food.
7988,237,Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.
2336,238,Avoid alcohol.
4928,238,Take with or without food. The absorption is unaffected by food.
6072,241,Avoid alcohol. Profound CNS depression can occur.
1409,242,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
2807,243,Avoid grapefruit products.
5030,243,Take with or without food. The absorption is unaffected by food.
4754,244,Take with or without food. The absorption is unaffected by food.
2342,245,Avoid alcohol.
3962,245,Take with food. Food reduces irritation.
2375,246,Avoid alcohol.
6075,246,Take with food.
3935,247,Take with food. Food reduces irritation.
9077,248,"Exercise caution with grapefruit products. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration."
9082,248,"Exercise caution with St. John's Wort. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with St. John's Wort, a CYP3A4 inducer, may reduce its serum concentration."
3827,248,Take with or without food. Taking cabergoline with food may reduce gastric irritation.
4652,250,Take with or without food. The absorption is unaffected by food.
2543,252,Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin.
3383,252,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.
3833,252,Take with food. Food reduces irritation and increases bioavailability.
2210,254,Avoid alcohol.
342,254,"Avoid multivalent ions. Calcium, iron, and aluminum containing products taken up to 2 hours before and 6 hours after administration can decrease drug concentrations."
5387,254,Take with a full glass of water.
8369,256,Take with or without food.
5524,258,"Take with food. When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations."
5527,260,"Do not take with or immediately after a high-fat meal. High-fat meals may reduce the rate of absorption; however, the impact on the extent of absorption is unknown."
4349,261,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
1405,262,Avoid echinacea.
2351,264,Avoid alcohol.
2879,264,Avoid natural licorice.
4184,264,Take with food.
9247,266,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
5530,268,Take with or without food. May take with food to reduce nausea.
5533,270,Take with or without food.
5886,273,Avoid a ketogenic diet. This type of diet increases the risk of kidney stones.
4346,273,Take with or without food. Food slightly alters absorption but not to any clinically significant extent.
4367,275,Take with or without food. Food does not affect absorption.
2180,277,"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline."
8765,277,Avoid St. John's Wort.
4106,277,Take with or without food. Take consistently with regard to food.
1394,278,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
8678,278,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting."
8681,278,Exercise caution with St. John's Wort.
5536,279,Take with or without food.
2384,280,Avoid alcohol.
4679,280,Take with or without food. The absorption is unaffected by food.
2390,283,Avoid alcohol.
4073,283,Take with food.
5402,284,Take with food. Each dose should be taken with the first bite of a main meal.
2213,285,Avoid alcohol. Prescribing information recommends the avoidance of alcohol during therapy.
2957,285,Avoid St. John's Wort. Co-administration of St. John's Wort may lead to additive serotonergic activity and an increased risk of serotonin syndrome.
4133,285,Take with food. Co-administration with food helps to alleviate/mitigate GI upset.
5539,286,Take with or without food. Consult individual product monograph for specific instructions.
4892,289,Take with or without food.
1407,291,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
3005,291,Drink plenty of fluids.
3509,291,Take on an empty stomach. Co-administration with food decreases bioavailability.
1928,294,Administer vitamin supplements.
2081,294,Avoid alcohol.
3260,294,Limit caffeine intake.
3431,294,Take at the same time every day.
4064,294,Take with food.
2378,295,"Avoid alcohol. Concomitant use may lead to profound sedation, respiratory depression, coma, and death."
4199,295,Take with or without food. There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food.
5435,300,Take with or without food.
3569,301,Take on an empty stomach.
5542,302,Take with or without food. The co-administration of food does not significantly affect tranexamic acid disposition.
5619,307,Take with food.
9142,309,"Exercise caution with grapefruit products. Vindesine is metabolized by CYP3A4, and grapefruit inhibits CYP3A4 metabolism, which may increase vindesine serum levels."
9147,309,"Exercise caution with St. John's Wort. Vindesine is metabolized by CYP3A4 and this herb induces CYP3A4 metabolism, which may reduce vindesine serum levels."
3788,310,Take with food. Food may increase bioavailability.
2207,313,Avoid alcohol.
2858,313,Avoid milk and dairy products.
4127,313,Take with food.
5622,315,Take with or without food. Food does not significantly impact the oral bioavalibility of zolmitriptan.
2012,316,Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.
5015,316,Take with or without food. The absorption is unaffected by food.
2720,317,Avoid grapefruit products.
4877,317,Take with or without food. The absorption is unaffected by food.
2138,318,Avoid alcohol.
4037,318,Take with food. Food reduces irritation.
5625,320,"Avoid grapefruit products. Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine. Use caution if co-administering."
2642,321,Avoid alcohol.
2975,321,Avoid St. John's Wort.
3197,321,Limit caffeine intake.
4022,321,Take with food. Food reduces irritation.
5628,323,Take with or without food. There is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone.
2417,327,Avoid alcohol.
1718,327,Take with or without food. Food does not significantly affect absorption.
2264,328,Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding.
1549,328,"Take with or without food. Food has no effect on drug absorption. However, food may decrease the extent of gastrointestinal irritation caused by indomethacin."
9798,330,Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.
3920,330,Take with food. Food reduces irritation.
2315,331,Avoid alcohol.
3863,331,Take with food. Food reduces irritation.
2066,333,Avoid alcohol.
1802,333,Take with or without food. Food does not significantly affect absorption.
2480,334,Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension.
4880,334,Take with or without food. The absorption of olanzapine is unaffected by food.
5694,338,Take before a meal. Allow 30-60 minutes before a meal.
5009,339,Take with or without food. The absorption is unaffected by food.
2123,341,Avoid alcohol.
4796,341,Take with or without food. The absorption is unaffected by food.
8777,342,"Exercise caution with grapefruit products. Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4. Co-administration may increase terfenadine concentrations and the risk of QT prolongation."
8782,342,Exercise caution with St. John's Wort. This herb induces CYP3A4 and terfenadine is a substrate of CYP3A4.
2864,343,Avoid natural licorice. The risk of cardiovascular adverse effects may be increased.
5360,346,Take after a meal. Take alfuzosin after the same meal everyday. Do not take on an empty stomach.
5631,347,Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy.
5640,348,Limit the intake of phenylalanine and tyrosine.
5634,348,Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals.
5637,348,Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours.
1955,349,Avoid alcohol. Alcohol increases clobazam absorption by 50%.
4613,349,Take with or without food. The absorption is unaffected by food.
4784,350,Take with or without food. The absorption is unaffected by food.
4181,351,Take with food.
5643,352,"Take with or without food. However, food intake may lower tioguanine serum levels."
5646,353,"Avoid grapefruit products. Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine. Use caution if co-administering."
2408,356,Avoid alcohol.
4592,356,Take with or without food. The absorption is unaffected by food.
4817,357,Take with or without food. The absorption is unaffected by food.
2306,358,Avoid alcohol.
3698,358,Take with a full glass of water.
4178,358,"Take with food. The presence of food significantly enhances the rate and extent of absorption, leading to about a 40% increase in bioavailability."
5655,360,Take at the same time every day.
5649,360,"Take with food. Taking sapropterin with food increases oral absorption. Sapropterin may be dissolved in water, juice, or dispersed in applesauce."
8842,361,Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism and may increase the serum levels of vinorelbine.
8847,361,Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism and may reduce the serum levels of vinorelbine.
2411,363,Avoid alcohol.
8832,363,Exercise caution with St. John's Wort. This herb induces both CYP3A4 and CYP1A2 metabolism and may reduce clozapine serum levels.
953,363,Limit caffeine intake. Caffeine may reduce clozapine metabolism.
4628,363,Take with or without food. The absorption is unaffected by food.
3608,364,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
5904,364,Take separate from antacids. Take at least 30 minutes before or after antacids.
1823,365,Avoid caffeine.
1820,365,Drink plenty of fluids.
4904,365,Take with or without food. The absorption is unaffected by food.
5658,366,Avoid alcohol. Co-administration may increase drowsiness and fall risk.
3440,367,Take at the same time every day.
5700,367,Take with or without food. The effect of food on absorption has not been evaluated.
2501,370,Avoid alcohol.
1742,370,Take with or without food. Food does not significantly affect absorption.
2477,371,Avoid alcohol.
1736,371,Take with or without food. Food does not significantly affect absorption.
10295,372,Avoid excessive or chronic alcohol consumption. Additive CNS depression may occur if alcohol is consumed with thiethylperazine.
5664,374,Take with food. Taking treprostinil with food increases oral absorption.
6144,375,Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids.
4082,375,Take with food.
5667,376,Take with or without food. Taking with food may minimize stomach upset. May take before meals to mitigate dry mouth or may take after meals to reduce excess salivation.
5670,377,Take with or without food.
3938,379,Take with food. Food reduces irritation.
2828,381,Avoid grapefruit products.
2861,381,Avoid natural licorice.
5051,381,Take with or without food. The absorption is unaffected by food.
10300,382,Take on an empty stomach. Take tacrine at least one hour before meals for optimal absorption.
1552,384,Avoid potassium-containing products. The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods.
5673,387,Take with or without food. Taking with food may reduce the adverse effects of procyclidine.
5712,390,Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.
5162,390,Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.
5703,390,Avoid St. John's Wort. This drug can decrease digoxin levels.
3419,390,Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.
9848,391,Avoid alcohol. Alcohol enhances the sedative effects of sulpiride.
2834,393,Avoid grapefruit products.
4445,393,Take with or without food. Take consistently at the same time in regard to meals.
2426,395,Avoid alcohol.
4949,395,Take with or without food. The absorption is unaffected by food.
1931,396,Administer vitamin supplements.
2099,396,Avoid alcohol.
3263,396,Limit caffeine intake.
3434,396,Take at the same time every day.
4076,396,Take with food.
3152,397,Limit caffeine intake.
4583,397,Take with or without food. The absorption is unaffected by food.
9112,398,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib."
9117,398,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of sorafenib."
6006,398,Take on an empty stomach. Take sorafenib with at least one-hour separation before meals and two hours after meals.
2429,400,Avoid alcohol.
5381,400,Take with a high fat meal.
2777,401,Avoid grapefruit products.
5721,402,Avoid alcohol.
5724,402,Do not take with or immediately after a high-fat meal. This decreases the absorption of eszopiclone.
2618,404,Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug.
2756,404,Avoid grapefruit products.
3191,404,Limit caffeine intake.
4274,404,"Take with or without food. Food increases the Cmax of extended release alprazolam by 25%, but the AUC and half life are not affected."
6009,405,Avoid alcohol. Taking with alcohol may increase drowsiness.
9252,407,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
2273,408,Avoid alcohol.
1114,408,Take with food. Food reduces irritation.
6012,412,Take with or without food.
4559,413,Take with or without food. Food decreases the risk of GI side effects.
2258,414,Avoid alcohol.
4778,414,Take with or without food. The absorption is unaffected by food.
3572,415,Take on an empty stomach.
3491,417,Take on an empty stomach. Absorption is increased 1 hour before or 2 hours after food.
6018,418,Avoid alcohol. Taking with alcohol may cause additive CNS depression.
6015,418,Take on an empty stomach. This may increase the rate of absorption.
5099,419,Take at the same time every day.
5096,419,Take with or without food.
10285,420,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed.
10290,420,Avoid antacids. The absorption of promazine may be reduced by antacid use.
2036,421,Avoid alcohol.
2933,421,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
4379,421,Take with or without food. Food increases the bioavailability of spironolactone by nearly 100%. It should be taken at a consistent time in regards to food.
5775,422,"Avoid alcohol. Co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate. It may also potentiate the CNS effects of methylphenidate."
5772,422,Take with or without food. Patients may take methylphenidate with food to alleviate GI upset.
2321,423,Avoid alcohol.
4832,423,Take with or without food. The absorption is unaffected by food.
5351,424,Take before a meal. Take 30-60 minutes before a meal.
9783,424,Take separate from antacids. Take oral hyoscyamine before meals and antacids after meals.
2234,425,Avoid alcohol.
5342,425,Take separate from meals. This drug should not be administered with or immediately after a meal.
4748,426,Take with or without food. The absorption is unaffected by food.
6021,427,Avoid alcohol. Taking with alcohol may increase drowsiness.
6024,431,Avoid excessive or chronic alcohol consumption.
6027,432,Take with food.
2582,433,Avoid alcohol. The drug may intensify or prolong the action of central nervous system depressants.
2597,434,Avoid alcohol. Co-administration with alcohol may potentiate the sedative effects of cyproheptadine.
3836,436,Take with food. Food increases bioavailability.
2606,437,Avoid alcohol.
3713,437,Take with a full glass of water.
4271,437,Take with food.
2792,439,Avoid grapefruit products.
4568,439,Take with or without food. The absorption is unaffected by food.
5414,442,Take on an empty stomach. Take 2 hours before or 2 hours after a meal.
8977,444,"Exercise caution with grapefruit products. Teniposide is a CYP3A4 substrate, and grapefruit inhibits CYP3A4 metabolism, coadministration may increase the serum concentrations of teniposide."
8982,444,"Exercise caution with St. John's Wort. Teniposide is a CYP3A4 substrate, and St. John's Wort induces CYP3A4 metabolism, coadministration may reduce the serum concentrations of teniposide."
3023,445,Drink plenty of fluids. Increased fluid intake increases urine output and the excretion of uric acid.
3551,446,Take on an empty stomach.
3599,447,Take on an empty stomach. Food decreases absorption.
3476,448,Take before a meal. Take 30-60 minutes before meals.
5198,451,Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.
5204,451,Avoid grapefruit products. Grapefruit may delay the absorption of this medication.
5201,451,Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.
5321,451,"Avoid multivalent ions. Examples include iron, magnesium, and calcium. These are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours."
8717,451,"Do not take with bran and high fiber foods. Dietary fiber, soybean flour, cottonseed meal, and walnuts may reduce the absorption of levothyroxine."
3575,451,Take on an empty stomach. Levothyroxine should be taken on an empty stomach 30-60 minutes prior to the first meal of the day.
2456,454,Avoid alcohol.
1730,454,Take with or without food. Food does not significantly affect absorption.
2564,457,Avoid alcohol.
2888,457,Avoid natural licorice.
4994,457,Take with or without food. The absorption is unaffected by food.
2261,458,Avoid alcohol.
2960,458,Avoid St. John's Wort.
1081,458,Do not take with bran and high fiber foods.
3146,458,Limit caffeine intake.
4148,458,Take with food.
6033,459,Avoid alcohol. Women of childbearing age should avoid ingesting any alcohol during treatment and two months after discontinuation of acitretin. Alcohol intake increases the duration of risk for birth defects to beyond three years post acitretin discontinuation.
6030,459,Take with food. Taking acitretin with the main meal of the day improves oral absorption.
2387,461,Avoid alcohol. Alcohol use may aggravate the gastrointestinal irritation caused by this drug.
3797,461,Take with food. Food increases the rate of absorption.
6036,462,Take before a meal. Take methscopolamine bromide 30 minutes before meals and at bedtime for optimal therapeutic effect.
3875,465,Take with food. Food reduces GI irritation.
4004,468,Take with food. Food reduces irritation.
6039,469,Take with food. Food may minimize stomach upset caused by tenoxicam.
2648,470,Avoid alcohol.
5042,470,Take with or without food. The absorption is unaffected by food.
4811,471,Take with or without food. The absorption is unaffected by food.
2102,472,Avoid alcohol.
6087,472,Take with or without food.
6042,474,Avoid alcohol. Alcohol intake may cause additive CNS depressant effects.
2465,475,Avoid alcohol.
4988,475,Take with or without food. The absorption is unaffected by food.
2708,476,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.
5267,476,Take with or without food. Do not sprinkle the contents of the capsules on food/liquids.
2483,477,Avoid alcohol.
3977,477,Take with food. Food reduces irritation.
9788,480,Take at the same time every day. Skip the missed dose if it has been more than 12 hours since your regular time.
5429,480,"Take with or without food. High-fat meals decrease absorption, but not to a clinically significant extent."
2603,481,Avoid excessive or chronic alcohol consumption. Excessive and chronic alcohol consumption may be associated with vitamin D deficiency.
5021,481,Take with or without food. The absorption is unaffected by food.
5760,482,Avoid alcohol. Alcohol increases the risk of gastrointestinal irritation.
5733,482,Avoid multivalent ions. Separate the administration of aluminum and magnesium containing drugs by several hours.
5730,482,"Take with or without food. Doses up to 200 mg can be taken without regard to food, but doses of 400mg or higher should be taken with food."
6045,484,Avoid alcohol. Alcohol intake may potentially lead to additive CNS depressant effects.
3545,485,Take on an empty stomach. Food decreases bioavailability.
2525,486,Avoid alcohol.
1748,486,Take with or without food. Food does not significantly affect absorption.
6048,488,Take after a meal. Take altretamine after meals and at bedtime.
5880,489,Take with or without food. Oral sotalol with a meal reduces absorption by 20%.
2090,490,Avoid alcohol. Alcohol may cause additive CNS depressant effects.
281,490,Avoid grapefruit products. Grapefruit increases the plasma concentrations of the drug.
6153,490,Take at the same time every day. Take consistently at the same time in regard to meals.
4328,490,Take with or without food. Take drug always with or always without food in a consistent manner.
5405,491,Take with food. Take at the beginning of a meal.
352,492,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
2912,492,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
3320,492,Limit salt intake. Salt may attenuate the antihypertensive effect.
3410,492,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.
4847,492,Take with or without food. The absorption is unaffected by food.
4718,494,Take with or without food. The absorption is unaffected by food.
6051,495,Take with or without food. The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC.
4655,496,Take with or without food. The absorption is unaffected by food.
2591,497,Avoid alcohol.
1766,497,Take with or without food. Food does not significantly affect absorption.
9257,498,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
4841,499,Take with or without food. The absorption is unaffected by food.
6054,500,"Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed."
