synonym,drug_id,score,language,coder,source
E.P.O.,16,good,english,,
Epoetin alfa,16,good,english,,
Epoetin alfa rDNA,16,good,english,,
Epoetin alfa-epbx,16,good,english,,
"Epoetin alfa, recombinant",16,good,english,,
Epoetin beta,16,good,english,,
Epoetin beta rDNA,16,good,english,,
Epoetin epsilon,16,good,english,,
Epoetin gamma,16,good,english,,
Epoetin gamma rDNA,16,good,english,,
Epoetin kappa,16,good,english,,
Epoetin omega,16,good,english,,
Epoetin theta,16,good,english,,
Epoetin zeta,16,good,english/german,,
Epoetina alfa,16,good,spanish,,
Epoetina beta,16,good,spanish,,
Epoetina dseta,16,good,spanish,,
Epoetina zeta,16,good,spanish,,
Epoétine zêta,16,good,french,,
Epoetinum zeta,16,good,latin,,
Erythropoiesis stimulating factor,16,good,english,,
"Erythropoietin (human, recombinant)",16,good,english,,
Erythropoietin (recombinant human),16,good,english,,
ESF,16,good,english,,
SH-polypeptide-72,16,good,english,,
Calcitonin (Salmon Synthetic),17,good,english,,
Calcitonin salmon,17,good,english,,
Calcitonin salmon recombinant,17,good,english,,
Calcitonin-salmon,17,good,english,,
"Calcitonin, salmon",17,good,english,,
Calcitonina salmón sintética,17,good,spanish,,
Recombinant salmon calcitonin,17,good,english,,
Salmon calcitonin,17,good,english,,Kegg
Interferon alfa-n3,18,good,english,usan,UNII
Granulocyte colony-stimulating factor pegfilgrastim,19,good,english,,
peg-filgrastim,19,good,english,,
Pegfilgrastim,19,good,english,inn/jan/usan,UNII
pegfilgrastim-apgf,19,good,english,,
pegfilgrastim-bmez,19,good,english,,
pegfilgrastim-cbqv,19,good,english,,
pegfilgrastim-jmdb,19,good,english,,
Recombinant human granulocyte-macrophage colony stimulating factor,20,good,english,,
rGM-CSF,20,good,english,,
rHu GM-CSF,20,good,english,,
Sargramostim,20,good,english,inn/jan/usan/usp,UNII
Peginterferon alfa-2b,22,good,english,inn/jan/usan,UNII
Asparaginase,23,good,english,,
Asparaginase (E. coli),23,good,english,,
Colaspase,23,good,english,ban,
Escherichia coli L-asparaginase,23,good,english,,
L-asparaginase,23,good,english,,
L-asparagine amidohydrolase,23,good,english,,
Recombinant Human Thyroid Stimulating Hormone,24,good,english,,
Recombinant thyrotropin alfa,24,good,english,,
rhTSH,24,good,english,,
rTSH,24,good,english,,
Thyrotropin alfa,24,good,english,inn/usan,UNII
Thyrotropin alpha,24,good,english,,
Antihemophilic factor (recombinant),25,good,english,,
Antihemophilic factor recombinant,25,good,english,,
"Antihemophilic factor, human recombinant",25,good,english,,
"Antihemophilic factor, recombinant",25,good,english,,
"Coagulation factor VIII, recombinant",25,good,english,,
Factor VIII (rDNA),25,good,english,,
Factor VIII (Recombinant),25,good,english,,
Factor VIII recombin,25,good,english,,
"Factor VIII, recombinant",25,good,english,,
Human Factor VIII (Recombinant),25,good,english,,
Human factor VIII recombinant,25,good,english,,
Octocog alfa,25,good,english,inn,
rAHF,25,good,english,,
Recombinant antihemophilic factor VIII,25,good,english,,
Anakinra,26,good,english,inn/usan,UNII
IL-1RA,26,good,english,,
Interleukin-1 receptor antagonist anakinra,26,good,english,,
Bacillus brevis gramicidin D,27,good,english,,
Gramicidin,27,good,english,,
Gramicidin A,27,good,english,,
Gramicidin B,27,good,english,,
Gramicidin C,27,good,english,,
Gramicidina,27,good,spanish,,
Gramicidine,27,good,english,,
Human IGG,28,good,english,,
Human immunoglobulin G,28,good,english,,
Human normal immunoglobulin,28,good,english,,
Immune globulin (human),28,good,english,,
Immune globulin human,28,good,english,,
Immunoglobulin (human),28,good,english,,
Immunoglobulin G (human),28,good,english,,
"Immunoglobulin G, human",28,good,english,,
IVIg,28,good,english,,
Anisoylated plasminogen streptokinase activator complex,29,good,english,,
Anistreplase,29,good,english,inn/usan,UNII
APSAC,29,good,english,,
High molecular weight insulin human,30,good,english,,
Human insulin,30,good,english,,
human insulin (rDNA),30,good,english,,
Insulin (human),30,good,english,,
Insulin human,30,good,english,inn/ban/usan/usp,UNII
Insulin human [rDNA origin],30,good,english,,
Insulin Human Regular,30,good,english,,
Insulin human regular (rDNA),30,good,english,,
"Insulin human, rDNA origin",30,good,english,,
Insulin recombinant human,30,good,english,,
Insulin recombinant purified human,30,good,english,,
Insulin regular,30,good,english,,
"Insulin, human",30,good,english,,
Insulina regular,30,good,spanish,,
Neutral insulin,30,good,english,,
"Regular Insulin, human",30,good,english,,
Soluble insulin,30,good,english,,
Tenecteplasa,31,good,spanish,,
Tenecteplase,31,good,english,inn/usan,UNII
TNK-tPA,31,good,english,,
Human menopausal gonadotrophin,32,good,english,,
Menotrophin,32,good,english,,
Menotropin,32,good,english,,
Menotropina,32,good,spanish,,
Menotropins (FSH;LH),32,good,english,,
IFN-gamma 1b,33,good,english,,
IFN-gamma-1b,33,good,english,,
Interferon gamma 1-b,33,good,english,,
Interferon gamma-1b,33,good,english,inn/ban/usan,UNII
"Interferon gamma-1b, recombinant",33,good,english,,
Interferon gamma-2a,33,good,english,,
Interferon alfa-2a,34,good,english,inn/ban/usan,
Interferon alfa-2a (genetical recombination),34,good,english,,
Interferon alfa-2a (recombinant),34,good,english,,
"Interferon alfa-2a, recombinant",34,good,english,,
"Interferon alfa-2a,recombinant",34,good,english,,
Interferon alpha-2a,34,good,english,,
Interferon-alfa-2a,34,good,english,,
Recombinant human interferon alfa-2a,34,good,english,,
Recombinant human interferon-alfa-2a,34,good,english,,
rIFN-alpha-2a,34,good,english,,
SH-polypeptide-46,34,good,english,,
1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin,35,good,english,,
1-deamino-8-D-arginine vasopressin,35,good,english,,
1-desamino-8-D-arginine vasopressin,35,good,english,,
dDAVP,35,good,english,,
Desmopresina,35,good,spanish,inn,
Desmopressin,35,good,english,inn,UNII
Desmopressine,35,good,french,inn,
Desmopressinum,35,good,latin,inn,
Coagulation factor VIIa,36,good,english,,
Coagulation factor VIIa (recombinant),36,good,english,,
Coagulation factor VIIa (recombinant)-jncw,36,good,english,,
Eptacog alfa,36,good,english,,
Eptacog alfa (activated),36,good,english,,
rFVIIa,36,good,english,,
IL-11,38,good,english,,
Interleukin 11,38,good,english,,
Interleukin-11,38,good,english,,
Oprelvekin,38,good,english,inn/jan/usan,UNII
Recombinant interleukin-11,38,good,english,,
24-163 fibroblast growth factor 7 (human),39,good,english,,
Palifermin,39,good,english,inn/usan,UNII
Palifermina,39,good,spanish,,
Glucagon,40,good,english,inn/jan/usp,ChEBI
Glucagon (recombinant dna origin),40,good,english,,
Glucagon recombinant,40,good,english,,
"Glucagon, human",40,good,english,,
"Glucagon, porcine",40,good,english,,
Glucagone,40,good,english,,ChEBI
Glucagonum,40,good,latin,inn,ChEBI
125-L-serine-2-133-interleukin 2 (human reduced),41,good,english,,
Aldesleukin,41,good,english,inn/usan,UNII
Aldesleukina,41,good,spanish,,
ILT-101,41,good,english,,
ILT101,41,good,english,,
Interleukin-2 aldesleukin,41,good,english,,
"Interleukin-2(2-133),125-ser",41,good,english,,
Recombinant human interleukin-2,41,good,english,,
Recombinant interleukin-2 human,41,good,english,,
Botulin B,42,good,english,,
Botulinum antitoxin type B,42,good,english,,
Botulinum B toxin,42,good,english,,
Botulinum neurotoxin type B precursor,42,good,english,,
Botulinum toxin type B,42,good,english,jan,UNII
BTX-B,42,good,english,,
RimabotulinumtoxinB,42,good,english,usan,
Toxina botulínica B,42,good,spanish,,
Omalizumab,43,good,english,inn/jan/usan,UNII
Lutropin alfa,44,good,english,inn/usan,UNII
Lutropin alpha,44,good,english,,
Lutropina alfa,44,good,spanish,,
Lipoprotein OspA antigen recombinant,45,good,english,,
Lipoprotein outer surface a borrelia burgdorferi antigen,45,good,english,,
OspA lipoprotein,45,good,english,,
Insulin lispro,46,good,english,inn/usan/usp,UNII
Insulin lispro (genetical recombination),46,good,english,,
Insulin lispro (rDNA origin),46,good,english,,
Insulin lispro protamine,46,good,english,,
Insulin lispro protamine recombinant,46,good,english,,
Insulin lispro recombinant,46,good,english,,
insulin lispro-aabc,46,good,english,,
"Insulin,lispro,human/rDNA",46,good,english,,
"Insulin,lispro,protamine/rDNA",46,good,english,,
Insulina lispro,46,good,spanish,,
Insulin glargine,47,good,english,inn/usan,UNII
Insulin glargine (rDNA origin),47,good,english,,
Insulin glargine recombinant,47,good,english,,
insulin glargine-yfgn,47,good,english,,
Insulina glargina,47,good,spanish,,
Clostridiopeptidase A,48,good,english,,
Clostridium histolyticum enzymes,48,good,english,,
Collagenase,48,good,english,,
Collagenase clostridium histolyticum,48,good,english,usan,UNII
collagenase clostridium histolyticum-aaes,48,good,english,,
Rasburicasa,49,good,spanish,,
Rasburicase,49,good,english,inn/jan/usan,UNII
Urate oxidase,49,good,english,,
Cetrorelix,50,good,english,inn/ban,UNII
Cetrorelixum,50,good,latin,inn,ChEBI (ChemIDplus)
Adalimumab,51,good,english,inn/usan,UNII
Adalimumab (genetical recombination),51,good,english,,
adalimumab-adaz,51,good,english,,
adalimumab-adbm,51,good,english,,
adalimumab-afzb,51,good,english,,
adalimumab-atto,51,good,english,,
adalimumab-bwwd,51,good,english,,
adalimumab-fkjp,51,good,english,,
Growth hormone,52,good,english,,
Growth hormone (human),52,good,english,,
hGH,52,good,english,,
Human growth hormone,52,good,english,,
Recombinant human growth hormone,52,good,english,,
rhGH,52,good,english,,
Somatotropin (human),52,good,english,,
Somatotropin human,52,good,english,,
Somatotropin human growth hormone,52,good,english,,
Somatropin,52,good,english,,
Somatropin (rDNA origin),52,good,english,,
Somatropin (recombinant DNA origin),52,good,english,,
Somatropin [rDNA origin],52,good,english,,
Somatropin recombinant,52,good,english,,
Somatropin(recombinant DNA origin),52,good,english,,
Somatropina,52,good,spanish,,
Imiglucerasa,53,good,spanish,,
Imiglucerase,53,good,english,inn/usan,UNII
Abciximab,54,good,english,inn/usan,UNII
Abciximab (genetical recombination),54,good,english,,
c7E3,54,good,english,,
Activated protein C,55,good,english,,
Blood coagulation factor XIV (human),55,good,english,,
Drotrecogin alfa (activated),55,good,english,,
"Drotrecogin alfa (activated), lyophilized",55,good,english,,
Drotrecogin alfa activated,55,good,english,,
"Drotrecogin alfa, activated",55,good,english,,
Drotrecogin-alfa,55,good,english,,
Recombinant human activated protein C (rH-APC),55,good,english,,
Gemtuzumab ozogamicin,56,good,english,inn/usan,UNII
Indium (111In) satumomab pendetide,57,good,english,,
Indium In 111 satumomab pendetide,57,good,english,,
Indium-111 satumomab pendetide,57,good,english,,
Alfa 1-proteinase inhibitor (human),58,good,english,,
Alfa-1-antitripsina,58,good,spanish,,
Alfa1 antitrypsin,58,good,english,,
Alpha 1-antitrypsin,58,good,english,,
Alpha 1-Proteinase Inhibitor,58,good,english,,
Alpha 1-proteinase inhibitor (human),58,good,english,,
"Alpha 1-proteinase inhibitor, human",58,good,english,,
Alpha-1 protease inhibitor,58,good,english,,
Alpha-1 proteinase inhibitor (human),58,good,english,,
Alpha-1-antiproteinase,58,good,english,,
Alpha-1-antitrypsin,58,good,english,,
Alpha-1-proteinase Inhibitor (human),58,good,english,,
Alpha-1-proteinase inhibitor human,58,good,english,,
"Alpha-1-proteinase Inhibitor, Human",58,good,english,,
"Alpha-1-proteinase inhibitor,human",58,good,english,,
Alpha1-proteinase Inhibitor,58,good,english,,
Alpha1-proteinase inhibitor (human),58,good,english,,
alpha1-proteinase inhibitor human,58,good,english,,
API,58,good,english,,
Peg-asparaginase,59,good,english,,
Peg/L-asparaginase,59,good,english,,
Pegaspargasa,59,good,spanish,,
Pegaspargase,59,good,english,inn/usan,UNII
Interferon beta 1-a,60,good,english,,
Interferon beta 1a,60,good,english,,
Interferon beta-1a,60,good,english,usan,UNII
Interferon beta-1a (recombinant human),60,good,english,,
"Interferon beta-1a,recombinant",60,good,english,,
Interferon-beta-1a,60,good,english,,
SNG001,60,good,english,,
(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase,61,good,english,,
PEG-adenosine deaminase,61,good,english,,
pegADA,61,good,english,,
Pegademase,61,good,english,inn,
Pegademase bovine,61,good,english,,
Albumin (human),62,good,english,,
Albumin human,62,good,english,usp,UNII
"Albumin, blood",62,good,english,,
"Albumin, human",62,good,english,,
"Albumin, human-kjda",62,good,english,,
Human albumin,62,good,english,,
Human serum albumin,62,good,english,,
Serum albumin,62,good,english,,
Eptifibatida,63,good,spanish,,
Eptifibatide,63,good,english,inn/ban,UNII
Integrelin,63,good,english,,
Intrifiban,63,good,english,,
Infliximab,65,good,english,inn/usan,UNII
Infliximab (genetical recombination),65,good,english,,
Infliximab-abda,65,good,english,,
Infliximab-axxq,65,good,english,,
Infliximab-dyyb,65,good,english,,
Infliximab-qbtx,65,good,english,,
Folitropina alfa,66,good,spanish,,
Folitropina beta,66,good,spanish,,
Folitropina delta,66,good,spanish,,
Follicle stimulating hormone,66,good,english,,
Follitrophin alfa,66,good,english,,
Follitrophin alpha,66,good,english,,
Follitrophin beta,66,good,english,,
Follitropin alfa,66,good,english,,
Follitropin alfa/beta,66,good,english,,
Follitropin alpha,66,good,english,,
Follitropin beta,66,good,english,,
Follitropin delta,66,good,english,,
Follitropin gamma,66,good,english,,
Follotropin recombinant,66,good,english,,
FSH,66,good,english,,
FSH alpha,66,good,english,,
FSH-a,66,good,english,,
FSH-b,66,good,english,,
FSH-beta,66,good,english,,
Recombinant human follicle stimulating hormone beta,66,good,english,,
Recombinant human follicle-stimulating hormone (r-HFSH),66,good,english,,
rFSH-alpha,66,good,english,,
"Vasopressin, unspecified",67,good,english,,
Vasopressina,67,good,spanish,,
Interferon beta 1b (recombinant),68,good,english,,
Interferon beta-1b,68,good,english,usan,UNII
"Interferon beta-1b,recombinant",68,good,english,,
Interferon-beta-1b,68,good,english,,
Recombinant interferon beta-1b,68,good,english,,
IFN Alfacon-1,69,good,english,,
IFN-Con1,69,good,english,,
Interferon alfacon-1,69,good,english,inn/usan,UNII
"Hyaluronidase (glycoprotein, sheep testis isoenzyme)",70,good,english,,
Hyaluronidase (ovine),70,good,english,inn/ban/jan/usan/usp,UNII
Hyaluronidase (sheep testis isoenzyme),70,good,english,,
"Hyaluronidase, ovine",70,good,english,,
Ovine hyaluronidase,70,good,english,,
Insulin (pork),71,good,english,,
Insulin porcine,71,good,english,,
Insulin purified porcine,71,good,english,,
Insulin purified pork,71,good,english,,
"Insulin, porcine",71,good,english,,
"Insulin, regular, pork",71,good,english,,
Porcine insulin,71,good,english,,
RHUMAB HER2,72,good,english,,
Trastuzumab,72,good,english,inn/usan,UNII
trastuzumab-anns,72,good,english,,
trastuzumab-dkst,72,good,english,,
trastuzumab-dttb,72,good,english,,
trastuzumab-pkrb,72,good,english,,
trastuzumab-qyyp,72,good,english,,
Rituximab,73,good,english,inn/jan/usan,UNII
rituximab-abbs,73,good,english,,
rituximab-arrx,73,good,english,,
rituximab-pvvr,73,good,english,,
Basiliximab,74,good,english,inn/jan/usan,UNII
Anti-CD3,75,good,english,,
Muromonab-CD3,75,good,english,,
Digitalis antitoxin,76,good,english,,
"Digoxin Immune Fab, Ovine",76,good,english,,
Digoxin-specific Antibody Fragments,76,good,english,,
Ovine digoxin immune fab,76,good,english,,
Ibritumomab,78,good,english,,
Ibritumomab tiuxetan,78,good,english,inn/usan,UNII
mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),78,good,english,,
Daptomicina,80,good,spanish,inn,ChemIDplus
Daptomycin,80,good,english,inn/jan/usan,UNII
Daptomycine,80,good,french,inn,
Daptomycinum,80,good,latin,inn,
Tositumomab,81,good,english,inn,UNII
Pegvisomant,82,good,english,inn/jan/usan,UNII
AbobotulinumtoxinA,83,good,english,,
Botulinum A neurotoxin,83,good,english,,
Botulinum antitoxin type A,83,good,english,,
Botulinum toxin A,83,good,english,,
Botulinum toxin type A,83,good,english,jan,UNII
BTX-A,83,good,english,,
EvabotulinumtoxinA,83,good,english,,
IncobotulinumtoxinA,83,good,english,,
OnabotulinumtoxinA,83,good,english,usan,
Prabotulinumtoxin A,83,good,english,,
Toxina botulínica A,83,good,spanish,,
Toxine botulinique A,83,good,french,,
Pancrealipase,85,good,english,,
Pancreatic extract pancrelipase,85,good,english,,
Pancreatic protease,85,good,english,,
Pancreatin,85,good,english,,
Pancreatinum,85,good,latin,,
Pancrelipase,85,good,english,jan/usan/usp,UNII
Pancrelipase (amylase;lipase;protease),85,good,english,,
Estreptoquinasa,86,good,latin,inn,
Streptochinasi,86,good,italian,,
Streptococcal fibrinolysin,86,good,english,,
Streptokinase,86,good,english,inn/ban,UNII
Streptokinasum,86,good,latin,inn,
Alemtuzumab,87,good,english,inn/usan,UNII
Alglucerase,88,good,english,inn/jan/usan,UNII
(111In)-Capromab pendetide,89,good,english,,
Capromab pendetide,89,good,english,usan,UNII
Indium (111In) capromab pendetide,89,good,english,,
Indium 111 Capromab Pendetide,89,good,english,,
Indium In 111 capromab pendetide,89,good,english,,
alpha-L-Idosiduronase,90,good,english,,
Human Recombinant alpha-L-iduronidase,90,good,english,,
Laronidasa,90,good,spanish,,
Laronidase,90,good,english,inn/jan/usan,UNII
Laronidase (genetical recombination),90,good,english,,
Ciclosporin,91,good,english,inn,ChEBI (KEGG DRUG)
Ciclosporina,91,good,spanish,inn,
Ciclosporine,91,good,french,inn,
Ciclosporinum,91,good,latin,inn,
CsA,91,good,english,,
CyA,91,good,english,,
Cyclosporin,91,good,english,,
Cyclosporin A,91,good,english,,ChEBI (KEGG COMPOUND)
Cyclosporine,91,good,english,usan/usp,UNII
Alefacept,92,good,english,inn/usan,UNII
2-(L-phenylalanine)-8-L-lysinevasopressin,93,good,english,,
Felipresina,93,good,spanish,inn,
Felypressin,93,good,english,inn/ban/usan,UNII
Felypressine,93,good,french,inn,
Felypressinum,93,good,latin,inn,
PLV-2,93,good,english,,
Follitropin human,94,good,english,,
Urofollitrophin,94,good,english,,
Urofollitropin,94,good,english,inn/usan,UNII
anti-CD11a,95,good,english,,
antiCD11 alpha,95,good,english,,
Efalizumab,95,good,english,inn/usan,UNII
Choriogonadotropin alfa,97,good,english,inn/jan/usan,UNII
Choriogonadotropin alpha,97,good,english,,
Chorionic gonadotropin (recombinant),97,good,english,,
"Anti-human thymocyte immunoglobulin, rabbit",98,good,english,,
"Anti-T-lymphocyte immune globulin, rabbit",98,good,english,,
Anti-thymocyte globulin (rabbit),98,good,english,,
Anti-thymocyte globulin rabbit,98,good,english,,
Antithymocyte immunoglobulin,98,good,english,,
Lapine T-lymphocyte immune globulin,98,good,english,,
Rabbit anti-human thymocyte globulin,98,good,english,,
Rabbit anti-human thymocyte globulin (rATG),98,good,english,,
Rabbit anti-human thymocyte immunoglobulin,98,good,english,,
Rabbit anti-thymocyte immunoglobulin,98,good,english,,
Rabbit antithymocyte globulin,98,good,english,,
Rabbit ATG,98,good,english,,
rATG,98,good,english,,
Thymoglobulin,98,good,english,,
Thymoglobuline,98,good,english,,
Filgrastim,99,good,english,inn/jan/usan,UNII
Filgrastim-aafi,99,good,english,,
Filgrastim-sndz,99,good,english,,
G-CSF ,99,good,english,,
Granulocyte Colony Stimulating Factor ,99,good,english,,
Tbo-filgrastim,99,good,english,,
Coagulation factor IX (recombinant),100,good,english,,
Coagulation factor IX recombinant human,100,good,english,,
"Coagulation factor IX, recombinant",100,good,english,,
Factor IX (Recombinant),100,good,english,,
nonacog alfa,100,good,english,,
nonacog gamma,100,good,english,,
Recombinant factor IX,100,good,english,,
Becaplermin,102,good,english,inn/usan,UNII
PDGF-2,102,good,english,,
PDGF-BB,102,good,english,,
PDGFB,102,good,english,,
"Platelet-derived growth factor BB, recombinant",102,good,english,,
Platelet-derived growth factor beta polypeptide,102,good,english,,
Recombinant platelet-derived growth factor BB,102,good,english,,
rhPDGF-BB,102,good,english,,
rPDGF-BB,102,good,english,,
SH-POLYPEPTIDE-59,102,good,english,,
Agalsidasa beta,103,good,spanish,inn,
Agalsidase beta,103,good,english,inn,UNII
Agalsidase beta (genetical recombination),103,good,english,jan,
Octreotida,104,good,spanish,,
Octreotide,104,good,english,inn/usan,UNII
Octreotidum,104,good,latin,,
Octrotide,104,good,english,,
Interferon alfa-2b,105,good,english,inn/usan,UNII
"Interferon alfa-2b, recombinant",105,good,english,,
Interferon alpha-2B,105,good,english,,
Interferon α-2b,105,good,english,,
Intron (Interferon α2b),105,good,english,,
Intron A,105,good,english,,
Intron A (Interferon α2b),105,good,english,,
r-INF-alpha,105,good,english,,
rIFN-alpha-2b,105,good,english,,
Abarelix,106,good,english,inn/usan,UNII
Oxitocina,107,good,spanish,,
Oxytocin,107,good,english,inn/jan/usp,UNII
Anti-alpha4 integrin,108,good,english,,
Anti-VLA4,108,good,english,,
Natalizumab,108,good,english,inn/jan/usan,UNII
Enfuvirtida,109,good,spanish,,
Enfuvirtide,109,good,english,inn/usan,UNII
Palivizumab,110,good,english,inn/ban/jan/usan,UNII
Dacliximab,111,good,english,,
Daclizumab,111,good,english,inn/usan,UNII
Daclizumab beta,111,good,english,,
Anti-VEGF Humanized Monoclonal Antibody,112,good,english,,
Anti-VEGF monoclonal antibody,112,good,english,,
Bevacizumab,112,good,english,inn/jan/usan,UNII
bevacizumab-awwb,112,good,english,,
rhuMAb-VEGF,112,good,english,,
Arcitumomab technetium-99m,113,good,english,,
Technetium (99mTc) arcitumomab,113,good,english,,
Technetium Tc 99m arcitumomab,113,good,english,,
Technetium-99m arcitumomab,113,good,english,,
3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde,114,good,english,,
3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate,114,good,english,,
Codecarboxylase,114,good,english,,ChEBI (ChEBI)
PLP,114,good,english,,
Pyridoxal 5-monophosphoric acid ester,114,good,english,,
Pyridoxal 5-phosphate,114,good,english,,
Pyridoxal 5'-phosphate,114,good,english,,
Pyridoxal P,114,good,english,,
Pyridoxal phosphate anhydrous,114,good,english,,
Pyridoxal-5P,114,good,english,,
Pyridoxal-P,114,good,english,,
Cianocobalamina,115,good,spanish,inn,
Cyanocob(III)alamin,115,good,english,,
Cyanocobalamin,115,good,english,inn/jan/usp,UNII
Cyanocobalamine,115,good,french,inn,
Cyanocobalaminum,115,good,latin,inn,
Vitamin B12,115,good,english,,
Vitamin B12 complex,115,good,english,,
Vitamin B12 NOS,115,good,english,,
"5,6,7,8-tetrahydrofolate",116,good,english,,
"5,6,7,8-tetrahydrofolic acid",116,good,english,,ChEBI (ChemIDplus)
Tetrahydrofolate,116,good,english,,ChEBI (Chemical Ontology)
(S)-4-(2-Amino-2-carboxyethyl)imidazole,117,good,english,,
(S)-a-Amino-1H-imidazole-4-propanoic acid,117,good,english,,
(S)-alpha-amino-1H-Imidazole-4-propanoic acid,117,good,english,,ChEBI
(S)-alpha-Amino-1H-imidazole-4-propionic acid,117,good,english,,
(S)-α-amino-1H-Imidazole-4-propanoic acid,117,good,english,,
HIS,117,good,english,,ChEBI
Histidina,117,good,spanish,,
Histidine,117,good,english,inn/usan/usp,UNII
L-(−)-histidine,117,good,english,,
L-Histidin,117,good,english,,
L-Histidine,117,good,english,,
Ademetionine,118,good,english,inn,UNII
AdoMet,118,good,english,,ChEBI (JCBN)
L-S-Adenosylmethionine,118,good,english,,
S-Adenosylmethionine,118,good,english,,ChEBI
SAM,118,good,english,,ChEBI (JCBN)
SAM-e,118,good,english,,
SAMe,118,good,english,,ChEBI
2-ketopropionic acid,119,good,english,,
2-oxopropanoic acid,119,good,english,,
2-Oxopropansäure,119,good,german,,ChEBI
2-Oxopropionsäure,119,good,german,,ChEBI
a-Ketopropionic acid,119,good,english,,
Acetylformic acid,119,good,english,,ChEBI (NIST Chemistry WebBook)
acide pyruvique,119,good,french,,ChEBI
alpha-ketopropionic acid,119,good,english,,ChEBI
Brenztraubensäure,119,good,german,,ChEBI
BTS,119,good,english,,ChEBI (ChemIDplus)
Pyroracemic acid,119,good,english,,
α-ketopropionic acid,119,good,english,,
α-Oxopropionsäure,119,good,german,,ChEBI
(S)-2-Amino-3-phenylpropionic acid,120,good,english,,
(S)-alpha-Amino-beta-phenylpropionic acid,120,good,english,,
3-phenyl-L-alanine,120,good,english,,ChEBI (NIST Chemistry WebBook)
beta-Phenyl-L-alanine,120,good,english,,ChEBI
F,120,good,english,,ChEBI
Fenilalanina,120,good,spanish,,
L-Phenylalanine,120,good,english,,
Phe,120,good,english,,
Phenylalanine,120,good,english,inn/usan/usp,UNII
Phenylalaninum,120,good,latin,,
β-phenyl-L-alanine,120,good,english,,
"(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid",121,good,english,,ChEBI (HMDB)
