drug_id,name,company,score,source
60,Uribeta,Probiomed,good,
65,Avsola,Amgen,good,
66,Cinnal-F,,good,
69,Advaferon,,good,
70,Diffusin,,good,
70,Enzodase,,good,
70,Hyazyme,,good,
70,Wydase,,good,
72,Herclon,Roche,good,
73,MabThera,Roche,good,
73,Riabni,,good,
75,Orthoclone OKT3,Janssen-Cilag,good,
80,Cidecin,,good,
80,Cubicin,,good,
85,Cotazym,Organon,good,
85,Ku-Zyme,Koichi,good,
85,Pancrease,Ortho-McNeil,good,
85,Ultrase,Axcan Scandipharm,good,
85,Ultresa (delayed-release enteric coated capsules),APTALIS PHARMA US,good,
85,Viokace (tablets),APTALIS PHARMA US,good,
85,Zymase,Organon,good,
89,ProstaScint,Cytogen Corp.,good,
91,Sangcya,Sangstat Medical Corp.,good,
91,Verkazia,Santen Inc.,good,
93,Colupressine,Joullie,good,
93,Octapressin,Sandoz,good,
94,Fertinex,Serono S.A.,good,
94,Metrodin,Serum Inst.,good,
95,Xanelim,,good,
97,Profasi,Serono S.A.,good,
98,ATG-Fresenius,Fresenius SE,good,
98,ATG-Fresenius S,Fresenius SE,good,
99,Biocilin,,good,
99,Biofigran,,good,
99,Biofilgran,,good,
99,Endufil,,good,
99,Filatil,,good,
99,Filgen,,good,
99,Gran,,good,
99,Granulokine,,good,
99,Grimatin,,good,
99,Inmunef,,good,
99,Jiexin,,good,
99,Leucogen,,good,
99,Leucostim,,good,
99,Macroleuco,,good,
99,Neukine,,good,
99,Neutromax,,good,
99,Neutroval ,Sicor Biotech,good,
99,Recombicyte,,good,
99,SciLocyte,,good,
99,Tevagastrim,,good,
99,White-C,,good,
99,Zarzio,,good,
104,Sandostatin LAR,Novartis Pharmaceuticals,good,
105,Locteron,,good,
106,Plenaxis,Praecis Pharmaceuticals,good,
108,Antegren,,good,
113,CEA-Scan,Immunomedics Inc,good,
114,Biosechs,,good,
114,Himitan,,good,
114,Vitazechs,,good,
115,Bedodeka,Teva,good,
115,Bedoz,,good,
115,Berubigen,Upjohn,good,
115,Betalin,Lilly,good,
115,Cobione,MSD,good,
115,Cobolin-M,,good,
115,Crystamine,,good,
115,Cyanoject,,good,
115,Cyomin,,good,
115,Cytakon,GlaxoSmithKline,good,
115,Cytamen,GlaxoSmithKline,good,
115,Dicopac,,good,
115,Neuroforte-R,,good,
115,Primabalt,,good,
115,Vitabee 12,,good,
118,Donamet,,good,
118,Sam-Sulfate,Natrol,good,
118,SAMe,,good,
118,SAMe Rx-Mood,Nature's Plus,good,
121,Appearex,,good,
121,Biodermatin,,good,
121,Bioepiderm,,good,
121,Meribin,,good,
121,Nail-ex,,good,
125,R-Gene 10,Pharmacia Corp.,good,
126,Ascoltin,,good,
126,Ascorbicap,,good,
130,Earthlink Science Glutamine Chews Chocolate,Amerifit,good,
130,Glutamine Express,Genetic Evolutionary Nutrition,good,
130,Glutamine Fuel Mega,Twinlab,good,
130,Glutamine Fuel Powder ,Twinlab,good,
130,L-Glutamine Power,Champion Nutrition,good,
131,My-B-Den,,good,
134,Acimethin,,good,
136,Asentar,Novacea,good,
136,Calcitriol Oral Solution,Roxane,good,
136,Decostriol,"Mibe Jena (Germany), Jesalis (Hong Kong, Thailand)",good,ChEBI (DrugBank)
140,Bisulase,,good,
143,Isethion,,good,
144,LifeExtension PS Caps,,good,
145,Gyn-Hydralin,,good,
146,Calderol,Upjohn,good,
146,Caldiol,Medica,good,
146,De Kai,China Otsuka,good,
146,Dédrogyl,DB,good,
146,Dedrogyl,Desma,good,
146,Didrogyl,Bruno Farm.,good,
146,Hidroferol,Faes,good,
150,Alti-Tryptophan,,good,
151,Nouress,,good,
152,Betalin S,Eli Lilly,good,
152,Biamine,,good,
153,Deltalin,Lilly,good,
154,Star GLA,GNC,good,
154,Tona-lean 1000 CLA,Action Labs,good,
158,Acfol,Cazi,good,
158,Fefol,GlaxoSmithKline,good,
162,Alphalin,,good,
162,Chocola A,,good,
163,Amino-Opti-E,,good,
163,Aquasol E,,good,
165,Becilan,,good,
165,Beesix,,good,
165,Benadon,,good,
165,Bonasanit,,good,
165,Hexa-Betalin,,good,
165,Hexobion,,good,
165,Nestrex,,good,
166,Biletan,,good,
168,Aminosweet,Ajinomoto,good,
168,Canderel,Merisant,good,
168,Equal,Merisant,good,
168,Nutrasweet,NutraSweet,good,
169,Delta-D,,good,
169,Micro-D,,good,
169,Optimal-D,"RV Nutritional, LLC",good,
169,Vigantol,,good,
170,Synkavite,,good,
171,Atriphos,Biochimica,good,
171,Striadyne,Auclair,good,
173,Leuco-4,,good,
175,Elisor,Baowei Technology Group,good,
175,Lipostat,Bristol-Myers Squibb,good,
175,Mevalotin,Daiichi Sankyo,good,
175,Pravaselect,,good,
175,Selipran,Bristol-Myers Squibb,good,
176,Dumirox,Abbott,good,
176,Faverin,Abbott,good,
176,Fevarin,Abbott,good,
176,Floxyfral,Abbott,good,
176,Maveral,Abbott,good,
178,Acovil,Sanofi-Aventis (Spain),good,
178,Carasel,Almirall (Spain),good,
178,Cardace,"Sanofi-Aventis (Finland), Aventis (India), Aventis (Indonesia)",good,
178,Delix,"Aventis (Germany, Turkey), ",good,
178,Hypren,AstraZeneca (Austria),good,
178,Lostapres,Temis (Argentina),good,
178,Pramace,"Astra (Ireland), AstraZeneca (Sweden)",good,
178,Quark,Polifarma (Italy),good,
178,Triatec,"Sanofi-Aventis (Brazil, Chili, Denmark, France, Greece, Indonesia, Italy,Norway, Portugal, Sweden, Switzerland)",good,
178,Tritace,"Sanofi-Aventis (Argentina, Australia, Austria, Belgium, Czech Republic, Hong Kong, Hungary, Ireland, Israel, Malaysia, Mexico, Netherlands, Poland, Singapor, Thailand, United Kingdom), Aventis (New Zealand, Philippines, South Africa)",good,
178,Vesdil,"AstraZeneca (Germany), Promed (Germany)",good,
179,Actinex,,good,
180,Bronalide,Krewel,good,
180,Nasalide,Teva Santé,good,
180,Syntaris,Teva,good,
181,Baclon,Uniao Quimica (Brazil),good,
181,Lioresal Intrathecal,Novartis Pharmaceuticals,good,
181,Nu-Baclofen,Nu-Pharm,good,
183,Peptavlon,,good,
184,Habitrol,,good,
184,Nicoderm,,good,
185,Saligren,,good,
186,Almazine,Psyco Remedies,good,
186,Anxiedin,U-Liang,good,
186,Idalprem,Novartis,good,
186,Lorabenz,,good,
186,Lorsilan,Belupo,good,
186,Somagerol,,good,
186,Temesta,Wyeth,good,
186,Wypax,Wyeth KK,good,
189,Arvynol,Pfizer,good,
189,Nostel,Dainippon,good,
189,Placidyl,Abbott,good,
189,Roeridorm,Pfizer-Roerig,good,
189,Serenesil,Abbott,good,
191,Dapex,Fernidale Labs,good,
191,Duromine,iNova Pharmaceuticals,good,
191,Fastin,Hi-Tech Pharmaceuticals,good,
191,Obenix,Jones Pharma,good,
191,Obestin-30,Fernidale Labs,good,
191,Oby-trim,Rexar,good,
191,Phentercot,Truven Health Analytics Inc,good,
191,Phentride,Truven Health Analytics Inc,good,
191,Umi-Pex,Fernidale Labs,good,
192,Decabid,Eli Lilly,good,
193,Rybix,Shionogi Inc.,good,
193,Tramal,Grünenthal GmbH,good,
194,Arasena-A,,good,
195,Betaxon,,good,
196,Elazor,,good,
196,Flucazol,,good,
196,Flucostat,,good,
196,Flunizol,,good,
196,Pritenzol,,good,
196,Trican,,good,
196,Triflucan,,good,
197,Noscal,,good,
197,Resulin,,good,
197,Rezulin,,good,
197,Romozin,,good,
198,Tamiflu,,good,
199,Ilosone,Cipa,good,
200,Alpha-Redisol,Merck,good,
200,Hydrocobamine,Nycomed,good,
201,Caffedrine,,good,
201,Dexitac,,good,
201,Durvitan,,good,
201,Enerjets,,good,
201,No-Doz,,good,
201,Pep-Back,,good,
201,Quick Pep,,good,
201,Wake-Up,,good,
202,Scoline,,good,
202,Sucostrin,,good,
206,Apoplon,,good,
206,Hiserpia,,good,
206,Novoreserpine,,good,
206,Reserfia,,good,
206,Serpalan,,good,
206,Serpanray,,good,
206,Serpasil,,good,
207,Azenil,,good,ChEBI (DrugBank)
207,Azibiot,,good,
207,Azifast,,good,
207,Azigram,,good,
207,Azimakrol,,good,
207,Azin,,good,
207,Azithrocin,,good,
207,Azitromax,,good,
207,Azitromin,,good,
207,Aztrin,,good,
207,Hemomycin,,good,ChEBI (DrugBank)
207,Misultina,,good,
207,Penalox,,good,
207,Sumamed,,good,
207,Vinzam,,good,
207,Zifin,,good,
207,Zitrocin,,good,
207,Zitrotek,,good,
209,Flotros,,good,
209,Regurin,,good,
209,Spasmex,,good,
209,Spasmolyt,,good,
209,Spasmoplex,,good,
209,Tropez OD,,good,
210,Adaferin,,good,ChEBI (DrugBank)
210,Differine,,good,
213,Pantozol,,good,
214,Britomar,Ferrer,good,
214,Diuver,Pliva,good,
214,Examide,Apex,good,
214,Luprac,Tanabe Mitshubishi Pharma,good,
214,Soaanz,Sarfez Pharmaceuticals,good,
214,Torem,Berlin-Chemie,good,
214,Trifas,Meranini,good,
215,Akarin,,good,
215,Celapram,,good,
215,Ciazil,,good,
215,Cilift,,good,
215,Cipram,,good,ChEBI (ChemIDplus)
215,Cipramil,,good,
215,Ciprapine,,good,
215,Citabax,,good,
215,Citadur,,good,
215,Citalec,,good,
215,Citol,,good,
215,Citopam,,good,
215,Citox,,good,
215,Citrol,,good,
215,Dalsan,,good,
215,Elopram,,good,
215,Humorup,,good,
215,Oropram,,good,
215,Pramcit,,good,
215,Recital,,good,
215,Seropram,,good,
215,Talam,,good,
215,Talohexal,,good,
215,Temperax,,good,
215,Vodelax,,good,
215,Zentius,,good,
215,Zetalo,,good,
217,Esbatal,,good,
219,A-Spasm,,good,
219,Antispasmin,,good,
219,Antrenex,,good,
219,Antrenyl,,good,
219,Atrenex,,good,
219,Spasmophen,,good,
221,Bronkometer,,good,
221,Bronkosol,,good,
222,GLIMPID,Ranbaxy Laboratories,good,
222,GLIMY,Dr.Reddy's Labs,good,
223,Florone E,,good,
223,Maxiflor,,good,
224,Crixivan,,good,
226,Anarel,Cutter,good,
226,Hylorel,Pennwalt,good,
227,Altocor,Andrx,good,
228,Alyrane,Baxter,good,
228,Compound 347,Dexa Medica,good,
228,Endurane,Singapore Pharmawealth Lifesciences,good,
228,Enfluran,Cristália,good,
229,Ceradon,,good,
229,Pansporin,Takeda Pharmaceutical,good,
231,Euhypnos,,good,
231,Norkotral,,good,
231,Normison,,good,
231,Nortem,,good,
231,Remestan,,good,
231,Temaze,,good,
231,Temtabs,,good,
232,Aquatensen,,good,
232,Duretic,,good,
232,Enduron,,good,
233,Pamisyl,Parke-Davis,good,
233,Rexipas,Bristol-Myers Squibb,good,
233,Rezipas,Bristol-Myers Squibb,good,
234,Davedax,,good,
234,Edronax,,good,
234,Norebox,,good,
234,Prolift,,good,
234,Solvex,,good,
234,Vestra,,good,
235,Corotrop,,good,
235,Corotrope,,good,
235,Milrila,,good,
236,Vercite,Abbott Laboratories,good,
236,Vercyte,Abbott Laboratories,good,
237,Butalan,,good,
237,Butisol,,good,
237,Sarisol No. 2,,good,
241,Sandoptal,Sandoz Pharmaceuticals Corporations,good,
242,Litak,,good,
242,Movectro,,good,
242,Mylinax,,good,
244,Asacolitin,,good,ChEBI (DrugBank)
244,Claversal,,good,ChEBI (DrugBank)
244,Fisalamine,,good,ChEBI (DrugBank)
244,Iialda,,good,
244,Lixacol,,good,ChEBI (DrugBank)
245,Apo-Benztropine,Apotex,good,
245,Cogentinol,"Astra (Germany, discontinued)",good,
245,PMS Benztropine,Pharmascience,good,
247,Deseril,,good,
247,Desernil,,good,
248,Cabaser,Pfizer,good,
249,Herpid,Astellas,good,
249,Herpidu,Ciba Vision,good,
249,Idulea,Elea,good,
249,Idustatin,Sanofi,good,
249,Keresid,GlaxoSmithKline,good,
249,Oftan IDU,Santen,good,
249,Virexen,Viñas,good,
251,Terazol,,good,
252,Epanutin, Pfizer,good,
252,Eptoin,,good,
254,Doxy,Galpharma,good,
254,Doxycin,Laboratoire Riva,good,
254,Doxylin,Actavis,good,
254,Jenacyclin,,good,ChEBI (DrugBank)
254,Microdox,Micro Labs,good,
254,NicAzelDoxyKit,,good,NDC
254,Nu-Doxycycline,Nu-Pharm,good,
254,Supracyclin,Grünenthal,good,ChEBI (DrugBank)
254,Vibramycin,Pfizer,good,ChEBI (DrugBank)
255,Distilbene,Gerda,good,
255,Stilbestrol,Nysco,good,
255,Stilbetin,Bristol Myers-Squibb,good,
256,Eficiclina,,good,
256,Tetralisal,,good,
256,Tetralysal,,good,
257,Canesten,Bayer,good,
257,Canifug,Dr. August Wolff,good,
257,Clotrimaderm,Taro,good,
257,Empecid,Bayer,good,
257,FemCare,,good,
257,Fungicip,Cipla,good,
257,Gyne-Lotrimin,Schering-Plough,good,
257,Myclo-Derm,,good,
257,Myclo-Gyne,,good,
258,Phoslo,,good,
258,Teltozan,,good,
259,Streptocid,,good,
260,Oxamycin,Merck,good,
260,Tisomycin,Lilly,good,
262,Becenun,,good,
262,Carmubris,,good,
262,Carustine,Curacell Biotech,good,
262,Nitrumon,,good,
263,Gantrisin,Roche,good,
263,Neoxazol,,good,
264,Corvitol,Berlin-Chemie AG / Menarini Group,good,
264,Minax,Alphapharm Pty Limited,good,
264,Selokeen,AstraZeneca,good,
264,TOPROL-XL,"Lanett Company, Inc",good,NDC
265,Crotamitex,Gepepharm,good,
265,Euracin,Green Cross (South Korea),good,
267,Bestcall,Takeda,good,
267,Cefmax,,good,
267,Tacef,Takeda,good,
268,Adartrel,,good,
268,ReQuip CR,GlaxoSmithKline,good,
268,Ronirol,,good,
269,Merbentul,Merrell,good,
269,Tace,Merrell,good,
269,Tace FN,Merrell,good,
269,Triagen,Gentili,good,
270,Clivoten,Italfarmaco (Italy),good,
270,Esradin,Sigma-Tau (Italy),good,
270,Lomir,"Novartis (Austria, Brazil, Czech Republic, Denmark, Finland, Germany, Greece, Hungary, Netherlands, Norway, Poland, Russia, Sweden), Sankyo (Belgium, Italy), Daiichi Sankyo (Portugal, Switzerland), Mizar (Spain)",good,
270,Prescal,Novartis (United Kingdom),good,
271,Cardiografin,,good,
271,Odiston,,good,
271,Urovison,Zydus,good,
271,Urovist,Bayer,good,
272,Gastramine,,good,
272,Histalog,Lilly,good,
274,Zefazone,,good,
275,Erastapex,Apex Pharma,good,
275,Golme,Golgi USA Research Laboratories Ltd,good,
275,Olmy,Zydus Cadila,good,
275,Olsar,Unichem Laboratories,good,
275,Olvance,Ranbaxy Laboratories Ltd,good,
275,WinBP,Abbott Healthcare Pvt Ltd,good,
276,Amekrin,,good,
276,AMSA P-D,,good,
276,Amsidine,,good,
276,Amsidyl,,good,
277,Respbid,,good,ChEBI (ChemIDplus)
277,Slo-Bid,,good,
277,Theo 24,,good,
277,Theo-Dur,,good,ChEBI (ChemIDplus)
277,Theodur G,,good,
279,Tertroxin,Aspen Pharmacare,good,ChEBI (DrugBank)
280,Dicorantil,Sanofi,good,
280,Isorythm,SERP,good,
280,Lispine,Sawai Seiyaku,good,
280,Ritmodan,Sanofi,good,
281,After Burn Double Strength Gel,,good,
281,After Burn Double Strength Spray,,good,
281,After Burn Gel,,good,
281,After Burn Spray,,good,
281,Alphacaine,,good,
281,Anestacon Jelly,,good,
281,DermaFlex,,good,
281,Dilocaine,,good,
281,Esracaine,,good,
281,L-Caine,,good,
281,Lidoject-1,,good,
281,Lidoject-2,,good,
281,LidoPain SP,,good,
281,Norwood Sunburn Spray,,good,
281,Xilocaina,,good,
281,Xylocaine,,good,
282,Aminomux,,good,
282,Pamimed,,good,
282,Ribodroat,,good,
283,Agasten,Novartis (Brazil),good,
283,Allerhist-1,,good,
283,Tavegil,Novartis,good,
283,Tavegyl,Novartis,good,
283,Tavist,Novartis,good,
283,Tavist-1,Novartis,good,
284,Glucobay,,good,
284,Prandase,Bayer AG,good,
284,Precose,,good,
285,Elafax,,good,
287,Travo-Z,,good,
288,Mycoderm,,good,
288,Penticort,,good,
288,Visderm,,good,
289,Tomoxetin,Torrent Pharmaceuticals Ltd,good,
291,Celkeran,Celon,good,
291,Chloraminophène,Techni-Pharma,good,
292,Hypnomidate,Janssen,good,
295,Kapanol,Mayne Pharma/Glaxo,good,
295,MSIR,Purdue Pharma,good,
295,Oramorph,Boeringher Ingelheim,good,
297,Bupivan,Sun,good,
297,Carbostesin,AstraZeneca,good,
297,Marcain,AstraZeneca,good,
297,Marcaina,AstraZeneca,good,
297,Posimir,Durect,good,
297,Sensorcaine-MPF,Astra Zeneca,good,
297,Xaracoll,Innocoll Holdings Limited,good,
298,Rev-Eyes,,good,
301,Flopen,Aspen,good,
301,Floxapen,GSK,good,ChEBI (DrugBank)
301,Fluclox,ACI,good,
301,Softapen,,good,
301,Staphylex,Actavis,good,
302,Cyclo-F,,good,
302,Espercil,,good,
302,Femstrual,,good,
302,Rikavarin,,good,
302,Transamin,,good,
302,Transcam,,good,
302,Traxyl,,good,
304,Cerazette,Organon,good,ChEBI (DrugBank)
304,Marvelon,Adcock Ingram Pharmaceuticals,good,
305,Mitozytrex,,good,
306,Lotusate,Sanofi Aventis,good,
309,Eldesine,,good,
309,Eldisine,,good,
310,Hygroton,Novartis,good,
310,Saluretin,Balkanpharma,good,
311,Cardrase,PHARMACIA AND UPJOHN,good,
311,Ethamide,ALLERGAN,good,
312,Nembutal,Lundbeck,good,
313,Convulex,,good,
313,Depakine,,good,
313,Deprakine,,good,
313,Encorate,,good,
313,Epilim,,good,
313,Valcote,,good,
313,Valparin,,good,
314,Capastat,Akorn Incorporated,good,
314,Capreomycin,Bristol-Myers Squibb,good,
314,Helpomycin,Unifarm,good,
314,Kapocin,Macleods,good,
314,Lykocin,Lyka Labs Ltd.,good,
315,AscoTop,AstraZeneca,good,
315,Nomi,Square,good,
315,Zipton,,good,
315,Zolmiles,Actavis,good,
315,Zolmit,Beximco,good,
315,Zomigon,AstraZeneca,good,
315,Zomigoro,AstraZeneca,good,
315,Zomitan,Incepta,good,
316,Acamol,Teva,good,
316,Aceta Elixir,,good,
316,Aceta Tablets,,good,
316,Acetalgin,,good,
316,Actamin,,good,
316,Actimol,,good,
316,Algotropyl,,good,
316,Alvedon,,good,
316,Aminofen,,good,
316,Anacin-3,,good,
316,Anhiba,,good,
316,Apacet,,good,
316,Banesin,,good,
316,Calpol,,good,
316,Conacetol,,good,
316,Dafalgan,,good,
316,Dapa X-S,,good,
316,Disprol,,good,
316,Dolprone,,good,
316,Dymadon,,good,
316,Dypap,,good,
316,Enelfa,,good,
316,Febridol,,good,
316,Febrilix,,good,
316,Finimal,,good,
316,Gelocatil,,good,
316,Genapap,,good,
316,Genebs,,good,
316,Injectapap,,good,
316,Liquiprin,,good,
316,Napafen,,good,
316,Oraphen-PD,,good,
316,Paldesic,,good,
316,Panofen,,good,
316,Paraspen,,good,
316,Parmol,,good,
316,Redutemp,,good,
316,Rounox,,good,
316,Salzone,,good,
316,Snaplets-FR,,good,
316,St. Joseph Fever Reducer,,good,
316,Suppap,,good,
316,Tapanol,,good,
316,Valorin,,good,
318,Actacode,Sigma,good,
318,Bisoltus,Boehringer Ingelheim,good,
318,Bromophar,Qualiphar,good,
318,Bronchicum,Sanofi-Aventis,good,
318,Bronchodine,Pharmacobel,good,
318,Codant,Antigen,good,
318,Codedrill,Pierre Fabre,good,
318,Codein,Cristália,good,
318,Codeisan,Belmac,good,
318,Coderpina,Frycia Centro América,good,
318,Codicalm,Welti,good,
318,Codicept,,good,
318,Codinex,Pinewood,good,
318,Coducept,,good,
318,Cougel,Hwang's,good,
318,Coutan,Mey See,good,
318,Dinco,Center,good,
318,Farmacod,Farmacom,good,
318,Galcodine,Thornton & Ross,good,
318,Pectoral,Siphat,good,
318,Tussoret,MaxMedic,good,
319,Ecosette,Farmaceutici T.S.,good,
319,Farecillin,SF Group,good,
319,Penmalin,Sawai Seiyaku,good,
319,Pentcillin,Toyama Kagaku,good,
319,Peracin,Pharmadica,good,
319,Piciliant,Shiono Kemikaru,good,
319,Picillin,CT,good,
319,Picillina,CCPC,good,
319,Piperac,Klonal,good,
319,Stepten,Aversi,good,
319,Tronazam,Richmond,good,
320,Dihydergot,Sandoz,good,
320,Ergont,Sigmapharm,good,
320,Ergotonin,,good,
320,Ikaran,Pierre Fabre,good,
320,Orstanorm,Amdipharm,good,
320,Trudhesa,"Impel NeuroPharma, Inc.",good,
320,Verladyn,Verla,good,
321,Adepril,Teofarma,good,
321,Amitryp,Raza,good,
321,Conmitrip,Condrugs,good,
321,Endep,Alphapharm,good,
321,Fiorda,Driburg,good,
321,Kamitrin,Saga,good,
321,Laroxyl,Deva,good,
321,Latilin,La Pharmaceuticals,good,
321,Maxitrip,Invision,good,
321,Redomex,Lundbeck,good,
321,Saroten,Lundbeck,good,
321,Sarotex,Lundbeck,good,
321,Sarotex Retard,Lundbeck,good,
321,Syneudon,Krewel Meuselbach,good,
321,Tryptanol,Merck Sharp & Dohme,good,
321,Tryptizol,Algorithm,good,
321,Uxen Retard,Sanofi-Aventis,good,
322,FUDR,Mayne,good,
323,Sen De Ning,Dexin Runsheng Pharmaceutical,good,
324,Efflumidex,Allergan,good,
324,Fluaton,Allergan,good,
324,Flumetholon,Ferron,good,
324,Flurolon,Allergan,good,
324,FML Liquifilm,Allergan,good,
324,Foxone,Winston,good,
324,Fucin,Mey See,good,
324,Fuluson,Dae Wo,good,
324,Fumelon,Han Lim,good,
324,Humetoron,Kuk Je,good,
324,Oxylone,,good,
328,Aconip,"Teika Pharmaceutical Co.,Ltd.",good,
328,Arthrexin,Alphapharm,good,
328,Elmetacin,Sankyo,good,
328,Indaflex,Andromaco,good,
328,Indocid,Lundbeck,good,
328,Indolar SR,Sandoz,good,
328,Indomed,Greater Pharma,good,
328,Indoxen,Quality Pharmaceutical,good,
328,Metindol,GlaxoSmithKline,good,
328,Mikametan,Mikasa Seiyaku,good,
328,Nu-Indo,Nu-Pharm,good,
328,Reumacide,Vitória,good,
330,Etibi,Valeant Canada Limited,good,
330,Tibutol,Refasa,good,
331,Apo-Metformin,Apotex,good,
331,Gen-Metformin,Genpharm ULC,good,
331,Novo-Metformin,Novopharm,good,
331,Nu-Metformin,Nu-Pharm,good,
331,Sandoz Metformin,Sandox,good,
332,Aerovent,Teva,good,
332,Apovent,Apotex Inc.,good,
332,Atronase,Boehringer Ingelheim,good,
332,Ipraxa,Ivax,good,
332,Ipvent,Cipla Medpro,good,
332,Rhinovent,Boehringer Ingelheim,good,
332,Rinatec,Boehringer Ingelheim,good,
332,Rinovagos,Valeas,good,
333,Adolan,,good,
333,Depridol,,good,
333,Heptadon,,good,
333,Heptanon,,good,
333,Ketalgin,,good,
333,Mephenon,,good,
333,Physeptone,,good,
334,Aedon,G.L. Pharma,good,
334,Amulsin,Sanitas,good,
334,Apisco,LKM,good,
334,Apsico,LKM,good,
334,Arkolamyl,Mylan,good,
334,Caprilon,Lavipharm,good,
334,CO Olanzapine,Cobalt,good,
334,Deprex,Square,good,
334,Dominazol,Stein,good,
334,Dopin,Daksh,good,
334,Egolanza,EGIS,good,
334,Elynza,Elynza,good,
334,Frenial,Biogen,good,
334,Jolyon-MD,Lupin,good,
334,Kozylex,Quisisana,good,
334,Lanopin,Molekule,good,
334,Lanzapin,Biogened,good,
334,Lanzep,Renata,good,
334,Lapenza,Smart Intermed,good,
334,Lapozan,Medochemie,good,
334,Lazapix,Portfarma,good,
335,Myocord,Ivax,good,
335,Normiten,Teva,good,
336,Furacin,,good,
336,Furaderm,,good,
336,Nitrofurazone,,good,
337,Aregen,Meda Pharm,good,
337,Rizan,Esteve,good,
338,Antra,,good,ChEBI (DrugBank)
338,Audazol,,good,ChEBI (DrugBank)
338,Belmazol,,good,ChEBI (DrugBank)
338,Ceprandal,,good,ChEBI (DrugBank)
338,Danlox,,good,ChEBI (DrugBank)
338,Desec,,good,ChEBI (DrugBank)
338,Elgam,,good,ChEBI (DrugBank)
338,Emeproton,,good,ChEBI (DrugBank)
338,Gasec,,good,ChEBI (DrugBank)
338,Gastrimut,,good,ChEBI (DrugBank)
338,Gastroloc,,good,
338,Indurgan,,good,ChEBI (DrugBank)
338,Inhibitron,,good,ChEBI (DrugBank)
338,Logastric,,good,
338,Losec,,good,ChEBI (DrugBank)
338,Mepral,,good,
338,Mopral,,good,
338,Olexin,,good,
338,Omapren,,good,ChEBI (DrugBank)
338,Omepral,,good,
338,Omeprazon,,good,
338,Omeprol,,good,
338,Omezol,,good,
338,Omisec,,good,
338,Omizac,,good,
338,Ortanol,,good,
338,Parizac,,good,
338,Prazidec,,good,ChEBI (DrugBank)
338,Prazolit,,good,
338,Procelac,,good,ChEBI (DrugBank)
338,Ramezol,,good,
338,Regulacid,,good,
338,Sanamidol,,good,ChEBI (DrugBank)
338,Ulceral,,good,ChEBI (DrugBank)
338,Ulcesep,,good,ChEBI (DrugBank)
338,Ultop,,good,ChEBI (DrugBank)
338,Zepral,,good,
339,Piraldina,Bracco,good,
339,Prazina,Armoxindo,good,
339,Pyrafat,Riemser,good,
339,Pyrazide,Sanofi-Aventis,good,
339,Tebrazid,Valeant,good,
339,Tisamid,Orion,good,
340,Cholinfall,,good,
340,Methixart,,good,
340,Tremaril,,good,
340,Tremarit,,good,
341,Alerlisin,,good,
341,Cetryn,,good,
341,Formistin,,good,
341,Hitrizin,,good,
341,Virlix,,good,
341,Zirtek,,good,
341,Zyrlex,,good,
342,Bronal,Galenika,good,
342,Daylert,Micro Labs,good,
342,Seldane,,good,
342,Servinin,Novartis ,good,
342,Teldane,,good,
342,Terfed,Cipla,good,
342,Terfenadin AL,Aliud,good,
342,Terfenadine FLX,Accord Healthcare,good,
342,Terfin,Interbat,good,
342,Ternadin,Dunar,good,
342,Trexyl,Ranbaxy,good,
342,Triludan,,good,
